vol.	page	sarga	from v.	to v.	ipage	remark(s)
II	88	13	3	3	80	
II	89	13	4	4	81	
II	90	13	5	5	82	
II	91	13	6	7	83	
II	92	13	8	8	84	
II	93	13	9	9	85	
II	94	13	10	10	86	
II	95	13	11	11	87	
II	96	13	12	12	88	
II	97	13	13	14	89	
II	98	13	15	15	90	
II	99	13	16	17	91	
II	100	13	18	18	92	
II	101	13	19	19	93	
II	102	13	20	21	94	
II	103	13	22	22	95	
II	104	13	23	23	96	
II	105	13	24	25	97	
II	106	---	---	---	98	
II	107	13	26	26	99	
II	108	13	27	27	100	
II	109	13	28	28	101	
II	110	13	29	29	102	
II	111	13	30	30	103	
II	112	13	31	31	104	
II	113	13	32	32	105	
II	114	13	33	34	106	
II	115	---	---	---	107	
II	116	13	35	36	108	
II	117	13	37	37	109	
II	118	13	38	39	110	
II	119	13	40	40	111	
II	120	13	41	41	112	
II	121	13	42	42	113	
II	122	13	43	43	114	
II	123	13	44	44	115	
II	124	13	45	46	116	
II	125	13	47	47	117	
II	126	13	48	48	118	
II	127	13	49	50	119	
II	128	14	1	1	120	
II	129	---	---	---	121	
II	130	14	2	2	122	
II	131	14	3	3	123	
II	132	14	4	5	124	
II	133	14	6	6	125	
II	134	14	7	7	126	
II	135	14	8	8	127	
II	136	14	9	9	128	
II	137	14	10	11	129	
II	138	14	12	12	130	
II	139	14	13	13	131	
II	140	14	14	14	132	
II	141	14	15	16	133	
II	142	14	17	17	134	
II	143	14	18	18	135	
II	144	14	19	19	136	
II	145	14	20	20	137	
II	146	14	21	22	138	
II	147	14	23	23	139	
II	148	14	24	24	140	
II	149	14	25	26	141	
II	150	14	27	27	142	
II	151	14	28	29	143	
II	152	14	30	30	144	
II	153	14	31	32	145	
II	154	14	33	34	146	
II	155	14	35	35	147	
II	156	14	36	37	148	
II	157	14	38	38	149	
II	158	14	39	40	150	
II	159	14	41	41	151	
II	160	14	42	43	152	
II	161	14	44	44	153	
II	162	14	45	45	154	
II	163	14	46	47	155	
II	164	14	48	48	156	
II	165	14	49	50	157	
II	166	14	51	51	158	
II	167	14	52	53	159	
II	168	14	54	54	160	
II	169	14	55	56	161	
II	170	14	57	57	162	
II	171	14	58	59	163	
II	172	14	60	60	164	
II	173	14	61	61	165	
II	174	14	62	63	166	
II	175	14	64	64	167	
II	176	14	65	66	168	
II	177	14	67	67	169	
II	178	14	68	68	170	
II	179	14	69	69	171	
II	180	14	70	71	172	
II	181	14	72	73	173	
II	182	14	74	74	174	
II	183	14	75	75	175	
II	184	14	76	76	176	
II	185	14	77	78	177	
II	186	14	79	79	178	
II	187	14	80	81	179	
II	188	14	82	82	180	
II	189	14	83	84	181	
II	190	14	85	85	182	
II	191	14	86	87	183	
II	192	14	88	88	184	
II	193	14	89	90	185	
II	194	14	91	91	186	
II	195	14	92	92	187	
II	196	14	93	94	188	
II	197	14	95	96	189	
II	198	14	97	97	190	
II	199	14	98	99	191	
II	200	14	100	100	192	
II	201	14	101	101	193	
II	202	14	102	103	194	
II	203	14	104	104	195	
II	204	14	105	106	196	
II	205	14	107	107	197	
II	206	14	108	109	198	
II	207	14	110	111	199	
II	208	14	112	112	200	
II	209	14	113	113	201	
II	210	15	1	1	202	
II	211	15	2	2	203	
II	212	15	3	4	204	
II	213	15	5	5	205	
II	214	15	6	6	206	
II	215	15	7	7	207	
II	216	15	8	8	208	
II	217	15	9	9	209	
II	218	15	10	10	210	
II	219	15	11	11	211	
II	220	15	12	13	212	
II	221	15	14	14	213	
II	222	15	15	15	214	
II	223	15	16	16	215	
II	224	15	17	18	216	
II	225	15	19	19	217	
II	226	15	20	20	218	
II	227	15	21	21	219	
II	228	15	22	23	220	
II	229	15	24	24	221	
II	230	15	25	25	222	
II	231	15	26	27	223	
II	232	15	28	28	224	
II	233	15	29	29	225	
II	234	15	30	31	226	
II	235	15	32	32	227	
II	236	15	33	34	228	
II	237	15	35	35	229	
II	238	15	36	37	230	
II	239	15	38	38	231	
II	240	15	39	39	232	
II	241	15	40	41	233	
II	242	15	42	42	234	
II	243	15	43	43	235	
II	244	15	44	44	236	
II	245	15	45	46	237	
II	246	15	47	47	238	
II	247	15	48	48	239	
II	248	15	49	50	240	
II	249	15	51	51	241	
II	250	15	52	52	242	
II	251	15	53	54	243	
II	252	15	55	55	244	
II	253	15	56	57	245	
II	254	15	58	58	246	
II	255	15	59	59	247	
II	256	15	60	61	248	
II	257	15	62	62	249	
II	258	15	63	63	250	
II	259	15	64	65	251	
II	260	15	66	66	252	
II	261	15	67	68	253	
II	262	15	69	69	254	
II	263	15	70	70	255	
II	264	15	71	72	256	
II	265	15	73	73	257	
II	266	15	74	75	258	
II	267	15	76	76	259	
II	268	15	77	78	260	
II	269	15	79	79	261	
II	270	15	80	81	262	
II	271	15	82	82	263	
II	272	15	83	84	264	
II	273	15	85	85	265	
II	274	15	86	87	266	
II	275	15	88	89	267	
II	276	15	90	90	268	
II	277	15	91	91	269	
II	278	15	92	93	270	
II	279	15	94	95	271	
II	280	15	96	96	272	
II	281	15	97	98	273	
II	282	15	99	99	274	
II	283	15	100	100	275	
II	284	15	101	102	276	
II	285	15	103	103	277	
II	286	15	104	104	278	
II	287	15	105	106	279	
II	288	15	107	108	280	
II	289	15	109	109	281	
II	290	15	110	111	282	
II	291	15	112	112	283	
II	292	15	113	114	284	
II	293	15	115	115	285	
II	294	15	116	117	286	
II	295	15	118	118	287	
II	296	15	119	120	288	
II	297	15	121	121	289	
II	298	15	122	123	290	
II	299	---	---	---	291	
II	300	16	1	2	292	
II	301	16	3	4	293	
II	302	16	5	5	294	
II	303	16	6	7	295	
II	304	16	8	8	296	
II	305	16	9	10	297	
II	306	16	11	11	298	
II	307	16	12	13	299	
II	308	16	14	15	300	
II	309	16	16	17	301	
II	310	16	18	18	302	
II	311	16	19	20	303	
II	312	16	21	22	304	
II	313	16	23	23	305	
II	314	16	24	25	306	
II	315	16	26	27	307	
II	316	16	28	28	308	
II	317	16	29	30	309	
II	318	16	31	31	310	
II	319	16	32	32	311	
II	320	16	33	34	312	
II	321	16	35	35	313	
II	322	16	36	37	314	
II	323	16	38	38	315	
II	324	16	39	40	316	
II	325	16	41	41	317	
II	326	16	42	42	318	
II	327	17	1	1	319	
II	328	17	2	2	320	
II	329	17	3	3	321	
II	330	17	4	4	322	
II	331	17	5	6	323	
II	332	17	7	7	324	
II	333	17	8	8	325	
II	334	17	9	10	326	
II	335	17	11	11	327	
II	336	17	12	12	328	
II	337	17	13	14	329	
II	338	17	15	15	330	
II	339	17	16	17	331	
II	340	17	18	18	332	
II	341	17	19	20	333	
II	342	17	21	22	334	
II	343	17	23	23	335	
II	344	17	24	25	336	
II	345	17	26	26	337	
II	346	17	27	27	338	
II	347	17	28	29	339	
II	348	17	30	31	340	
II	349	17	32	32	341	
II	350	17	33	33	342	
II	351	17	34	35	343	
II	352	17	36	36	344	
II	353	17	37	38	345	
II	354	17	39	39	346	
II	355	17	40	40	347	
II	356	17	41	42	348	
II	357	17	43	44	349	
II	358	17	45	46	350	
II	359	17	47	47	351	
II	360	17	48	49	352	
II	361	17	50	51	353	
II	362	17	52	53	354	
II	363	17	54	54	355	
II	364	17	55	56	356	
II	365	17	57	58	357	
II	366	17	59	60	358	
II	367	17	61	62	359	
II	368	17	63	63	360	
II	369	17	64	65	361	
II	370	17	66	68	362	
II	371	17	69	69	363	
II	372	17	70	71	364	
II	373	17	72	72	365	
II	374	17	73	73	366	
II	375	17	74	74	367	
II	376	17	75	76	368	
II	377	17	77	77	369	
II	378	17	78	79	370	
II	379	17	80	81	371	
II	380	17	82	82	372	
II	381	17	83	84	373	
II	382	17	85	85	374	
II	383	17	86	87	375	
II	384	17	88	89	376	
II	385	17	90	90	377	
II	386	17	91	92	378	
II	387	17	93	93	379	
II	388	17	94	95	380	
II	389	17	96	96	381	
II	390	17	97	97	382	
II	391	17	98	99	383	
II	392	17	100	101	384	
II	393	17	102	102	385	
II	394	17	103	103	386	
II	395	17	104	105	387	
II	396	17	106	106	388	
II	397	17	107	108	389	
II	398	17	109	109	390	
II	399	17	110	110	391	
II	400	17	111	112	392	
II	401	18	1	1	393	
II	402	18	2	2	394	
II	403	18	3	4	395	
II	404	18	5	5	396	
II	405	18	6	7	397	
II	406	18	8	9	398	
II	407	18	10	10	399	
II	408	18	11	11	400	
II	409	18	12	13	401	
II	410	18	14	14	402	
II	411	18	15	16	403	
II	412	18	17	17	404	
II	413	18	18	18	405	
II	414	18	19	20	406	
II	415	18	21	21	407	
II	416	18	22	23	408	
II	417	18	24	24	409	
II	418	18	25	25	410	
II	419	18	26	26	411	
II	420	18	27	28	412	
II	421	18	29	29	413	
II	422	18	30	31	414	
II	423	18	32	32	415	
II	424	18	33	34	416	
II	425	18	35	35	417	
II	426	18	36	36	418	
II	427	18	37	38	419	
II	428	18	39	39	420	
II	429	18	40	41	421	
II	430	18	42	42	422	
II	431	19	1	1	423	
II	432	19	2	3	424	
II	433	19	4	4	425	
II	434	19	5	6	426	
II	435	19	7	7	427	
II	436	19	8	9	428	
II	437	19	10	11	429	
II	438	19	12	12	430	
II	439	19	13	14	431	
II	440	19	15	16	432	
II	441	19	17	17	433	
II	442	19	18	19	434	
II	443	19	20	20	435	
II	444	19	21	22	436	
II	445	19	23	24	437	
II	446	19	25	25	438	
II	447	19	26	27	439	
II	448	19	28	28	440	
II	449	19	29	30	441	
II	450	---	---	---	442	
II	451	20	1	1	443	
II	452	20	2	3	444	
II	453	20	4	5	445	
II	454	20	6	6	446	
II	455	20	7	8	447	
II	456	20	9	9	448	
II	457	20	10	12	449	
II	458	---	---	---	450	
II	459	20	13	13	451	
II	460	20	14	15	452	
II	461	20	16	16	453	
II	462	20	17	18	454	
II	463	20	19	19	455	
II	464	20	20	21	456	
II	465	20	22	22	457	
II	466	20	23	24	458	
II	467	20	25	25	459	
II	468	20	26	27	460	
II	469	20	28	28	461	
II	470	20	29	29	462	
II	471	20	30	31	463	
II	472	20	32	32	464	
II	473	20	33	34	465	
II	474	20	35	36	466	
II	475	20	37	37	467	
II	476	21	1	1	468	
II	477	21	2	2	469	
II	478	21	3	3	470	
II	479	21	4	4	471	
II	480	21	5	5	472	
II	481	21	6	6	473	
II	482	21	7	7	474	
II	483	21	8	8	475	
II	484	21	9	9	476	
II	485	21	10	10	477	
II	486	21	11	11	478	
II	487	21	12	13	479	
II	488	21	14	14	480	
II	489	21	15	15	481	
II	490	21	16	16	482	
II	491	21	17	17	483	
II	492	21	18	18	484	
II	493	21	19	20	485	
II	494	21	21	21	486	
II	495	21	22	22	487	
II	496	21	23	23	488	
II	497	22	1	2	489	
II	498	22	3	4	490	
II	499	22	5	5	491	
II	500	22	6	7	492	
II	501	22	8	9	493	
II	502	22	10	11	494	
II	503	22	12	12	495	
II	504	22	13	14	496	
II	505	22	15	16	497	
II	506	22	17	18	498	
II	507	22	19	20	499	
II	508	22	21	21	500	
II	509	22	22	23	501	
II	510	22	24	24	502	
II	511	22	25	26	503	
II	512	22	27	27	504	
II	513	22	28	28	505	
II	514	22	29	29	506	
II	515	22	30	30	507	
II	516	22	31	31	508	
II	517	22	32	33	509	
II	518	22	34	35	510	
II	519	---	---	---	511	sarga ending
II	520	---	---	---	512	
II	521	---	---	---	513	vol. I content
