page	kāṇḍa	adhy.	brāhm.	from kaṇḍikā	to kaṇḍikā	ipage
808	10	4	2	27b	31	787
808	10	4	3	1	2a	787
809	10	4	3	2b	12a	788
810	10	4	3	12b	19a	789
811	10	4	3	19b	24	790
811	10	4	4	1	2a	790
812	10	4	4	2b	5	791
812	10	4	5	1	3a	791
813	10	4	5	3b	3b	792
813	10	5	1	1	5	792
814	10	5	2	1	8a	793
815	10	5	2	8b	15a	794
816	10	5	2	15b	23	795
817	10	5	3	1	5a	796
818	10	5	3	5b	9a	797
819	10	5	3	9b	12	798
819	10	5	4	1	2a	798
820	10	5	4	2b	6a	799
821	10	5	4	6b	10a	800
822	10	5	4	10b	15a	801
823	10	5	4	15b	19	802
823	10	5	5	1	5a	802
824	10	5	5	5b	10	803
824	10	6	1	1	3a	803
825	10	6	1	3b	8a	804
826	10	6	1	8b	11	805
826	10	6	2	1	3a	805
827	10	6	2	3b	11	806
827	10	6	3	1	2	806
828	10	6	4	1	1	807
828	10	6	5	1	4a	807
829	10	6	5	4b	9	808
848	11	1	1	1	7	827
848	11	1	2	1	3a	827
849	11	1	2	3b	13	828
850	11	1	3	1	7	829
851	11	1	4	1	4	830
851	11	1	5	1	4a	830
852	11	1	5	4b	11	831
852	11	1	6	1	2a	831
853	11	1	6	2b	12a	832
854	11	1	6	12b	19	833
855	11	1	6	20	28a	834
856	11	1	6	28b	36	835
856	11	1	7	1	2a	835
857	11	1	7	2b	5	836
857	11	1	8	1	6a	836
858	11	1	8	6b	6b	837
858	11	2	1	1	6	837
858	11	2	2	1	3a	837
859	11	2	2	3b	6	838
859	11	2	3	1	5a	838
860	11	2	3	5b	11	839
860	11	2	4	1	4a	839
861	11	2	4	4b	10	840
861	11	2	5	1	1a	840
862	11	2	5	1b	5	841
862	11	2	6	1	5a	841
863	11	2	6	5b	14a	842
864	11	2	6	14b	14b	843
864	11	2	7	1	11a	843
865	11	2	7	11b	20a	844
866	11	2	7	20b	32a	845
867	11	2	7	32b	33	846
867	11	3	1	1	6a	846
868	11	3	1	6b	8	847
868	11	3	2	1	1	847
868	11	3	3	1	5a	847
869	11	3	3	5b	7	848
869	11	4	1	1	5a	848
870	11	4	1	5b	12a	849
871	11	4	1	12b	16	850
871	11	4	2	1	2a	850
872	11	4	2	2b	13a	851
873	11	4	2	13b	20	852
873	11	4	3	1	1a	852
874	11	4	3	1b	13a	853
875	11	4	3	13b	20	854
875	11	4	4	1	2a	854
876	11	4	4	2b	12	855
876	11	5	1	1	1a	855
877	11	5	1	1b	9a	856
878	11	5	1	9b	17a	857
879	11	5	1	17b	17b	858
879	11	5	2	1	8a	858
880	11	5	2	8b	10	859
880	11	5	3	1	6a	859
881	11	5	3	6b	10a	860
882	11	5	3	10b	13	861
882	11	5	4	1	1a	861
883	11	5	4	1b	8a	862
884	11	5	4	8b	18a	863
885	11	5	4	18b	18b	864
885	11	5	5	1	10a	864
886	11	5	5	10b	13	865
886	11	5	6	1	3	865
887	11	5	6	4	9	866
887	11	5	7	1	1a	866
888	11	5	7	1b	10	867
888	11	5	8	1	1a	867
889	11	5	8	1b	7	868
889	11	5	9	1	4a	868
890	11	5	9	4b	11a	869
891	11	5	9	11b	12	870
891	11	6	1	1	5a	870
892	11	6	1	5b	12	871
893	11	6	1	13	13	872
893	11	6	2	1	5a	872
894	11	6	2	5b	10	873
894	11	6	3	1	4a	873
895	11	6	3	4b	11	874
896	11	7	1	1	3	875
896	11	7	2	1	5a	875
897	11	7	2	5b	8	876
897	11	7	3	1	3	876
898	11	7	4	1	4	877
898	11	8	1	1	3a	877
899	11	8	1	3b	3b	878
899	11	8	2	1	1	878
899	11	8	3	1	5a	878
900	11	8	3	5b	11	879
900	11	8	4	1	2a	879
901	11	8	4	2b	14	880
921	12	1	1	1	6a	900
922	12	1	1	6b	11	901
922	12	1	2	1	3a	901
923	12	1	2	3b	3b	902
923	12	1	3	1	15	902
924	12	1	3	16	23	903
924	12	1	4	1	2a	903
925	12	1	4	2b	3	904
925	12	2	1	1	7a	904
926	12	2	1	7b	9	905
926	12	2	2	1	6a	905
927	12	2	2	6b	17a	906
928	12	2	2	17b	23	907
928	12	2	3	1	4a	907
929	12	2	3	4b	10a	908
930	12	2	3	10b	13	909
930	12	2	4	1	5a	909
931	12	2	4	5b	16	910
932	12	3	1	1	9	911
932	12	3	2	1	2a	911
933	12	3	2	2b	8	912
933	12	3	3	1	2a	912
934	12	3	3	2b	14a	913
935	12	3	3	14b	14b	914
935	12	3	4	1	11	914
936	12	3	5	1	13a	915
937	12	3	5	13b	13b	916
937	12	4	1	1	6a	916
938	12	4	1	6b	10a	917
939	12	4	1	10b	12	918
939	12	4	2	1	3a	918
940	12	4	2	3b	9a	919
941	12	4	2	9b	10	920
941	12	4	3	1	4a	920
942	12	4	3	4b	10	921
942	12	4	4	1	1a	921
943	12	4	4	1b	4a	922
944	12	4	4	4b	7a	923
945	12	4	4	7b	7b	924
945	12	5	1	1	7a	924
946	12	5	1	7b	17a	925
947	12	5	1	17b	17b	926
947	12	5	2	1	7a	926
948	12	5	2	7b	15	927
948	12	6	1	1	2a	927
949	12	6	1	2b	20a	928
950	12	6	1	20b	37a	929
951	12	6	1	37b	41	930
951	12	7	1	1	5a	930
952	12	7	1	5b	14a	931
953	12	7	1	14b	14b	932
953	12	7	2	1	9a	932
954	12	7	2	9b	17a	933
955	12	7	2	17b	21	934
955	12	7	3	1	5a	934
956	12	7	3	5b	12a	935
957	12	7	3	12b	20a	936
958	12	7	3	20b	22	937
958	12	8	1	1	2a	937
959	12	8	1	2b	8a	938
960	12	8	1	8b	20a	939
961	12	8	1	20b	22	940
961	12	8	2	1	3a	940
962	12	8	2	3b	13a	941
963	12	8	2	13b	24a	942
964	12	8	2	24b	34	943
965	12	8	2	35	36	944
965	12	8	3	1	6a	944
966	12	8	3	6b	15a	945
967	12	8	3	15b	22a	946
968	12	8	3	22b	30a	947
969	12	8	3	30b	31	948
969	12	9	1	1	5a	948
970	12	9	1	5b	12a	949
971	12	9	1	12b	17	950
971	12	9	2	1	3a	950
972	12	9	2	3b	10a	951
973	12	9	2	10b	12	952
973	12	9	3	1	6a	952
974	12	9	3	6b	13a	953
975	12	9	3	13b	16	954
978	13	1	1	1	4	957
978	13	1	2	1	3a	957
979	13	1	2	3b	9	958
979	13	1	3	1	1a	958
980	13	1	3	1b	8a	959
981	13	1	3	8b	8b	960
981	13	1	4	1	3	960
981	13	1	5	1	4a	960
982	13	1	5	4b	6	961
982	13	1	6	1	3a	961
983	13	1	6	3b	3b	962
983	13	1	7	1	4	962
983	13	1	8	1	3a	962
984	13	1	8	3b	8	963
984	13	1	9	1	10a	963
985	13	1	9	10b	10b	964
985	13	2	1	1	7	964
986	13	2	2	1	14a	965
987	13	2	2	14b	19	966
987	13	2	3	1	2a	966
988	13	2	3	2b	2b	967
988	13	2	4	1	4	967
988	13	2	5	1	2a	967
989	13	2	5	2b	4	968
989	13	2	6	1	7a	968
990	13	2	6	7b	17	969
990	13	2	7	1	1a	969
991	13	2	7	1b	13a	970
992	13	2	7	13b	15	971
992	13	2	8	1	5a	971
993	13	2	8	5b	5b	972
993	13	2	9	1	9	972
993	13	2	10	1	3a	972
994	13	2	10	3b	3b	973
994	13	2	11	1	3	973
994	13	3	1	1	4	973
994	13	3	2	1	1a	973
995	13	3	2	1b	3	974
995	13	3	3	1	7a	974
996	13	3	3	7b	10	975
996	13	3	4	1	3a	975
997	13	3	4	3b	5	976
997	13	3	5	1	4	976
997	13	3	6	1	4a	976
998	13	3	6	4b	7	977
998	13	3	7	1	7a	977
999	13	3	7	7b	12	978
999	13	3	8	1	6a	978
1000	13	3	8	6b	6b	979
1000	13	4	1	1	9a	979
1001	13	4	1	9b	15a	980
1002	13	4	1	15b	15b	981
1002	13	4	2	1	6a	981
1003	13	4	2	6b	15a	982
1004	13	4	2	15b	17	983
1004	13	4	3	1	3a	983
1005	13	4	3	3b	9a	984
1006	13	4	3	9b	15a	985
1007	13	4	3	15b	15b	986
1007	13	4	4	1	6a	986
1008	13	4	4	6b	11	987
1008	13	5	1	1	2a	987
1009	13	5	1	2b	9a	988
1010	13	5	1	9b	15a	989
1011	13	5	1	15b	18	990
1011	13	5	2	1	4a	990
1012	13	5	2	4b	12a	991
1013	13	5	2	12b	23	992
1013	13	5	3	1	2a	992
1014	13	5	3	2b	11a	993
1015	13	5	3	11b	11b	994
1015	13	5	4	1	7a	994
1016	13	5	4	7b	17a	995
1017	13	5	4	17b	28a	996
1018	13	5	4	28b	28b	997
1018	13	6	1	1	6	997
1019	13	6	1	7	11	998
1019	13	6	2	1	2a	998
1020	13	6	2	2b	12a	999
1021	13	6	2	12b	20	1000
1021	13	7	1	1	1a	1000
1022	13	7	1	1b	12a	1001
1023	13	7	1	12b	15	1002
1023	13	8	1	1	5a	1002
1024	13	8	1	5b	13a	1003
1025	13	8	1	13b	20	1004
1025	13	8	2	1	2a	1004
1026	13	8	2	2b	9	1005
1026	13	8	3	1	1a	1005
1027	13	8	3	1b	9a	1006
1028	13	8	3	9b	13	1007
1028	13	8	4	1	5a	1007
1029	13	8	4	5b	12	1008
1042	14	1	1	1	11	1021
1043	14	1	1	12	24a	1022
1044	14	1	1	24b	33a	1023
1045	14	1	1	33b	33b	1024
1045	14	1	2	1	9a	1024
1046	14	1	2	9b	15a	1025
1047	14	1	2	15b	21a	1026
1048	14	1	2	21b	26	1027
1048	14	1	3	1	2a	1027
1049	14	1	3	2b	13a	1028
1050	14	1	3	13b	21a	1029
1051	14	1	3	21b	30a	1030
1052	14	1	3	30b	33	1031
1052	14	1	4	1	7a	1031
1053	14	1	4	7b	16	1032
1054	14	2	1	1	13a	1033
1055	14	2	1	13b	21a	1034
1056	14	2	1	21b	21b	1035
1056	14	2	2	1	7a	1035
1057	14	2	2	7b	16a	1036
1058	14	2	2	16b	27a	1037
1059	14	2	2	27b	38a	1038
1060	14	2	2	38b	47a	1039
1061	14	2	2	47b	55	1040
1061	14	3	1	1	2a	1040
1062	14	3	1	2b	12a	1041
1063	14	3	1	12b	22a	1042
1064	14	3	1	22b	29a	1043
1065	14	3	1	29b	35	1044
1065	14	3	2	1	2a	1044
1066	14	3	2	2b	19a	1045
1067	14	3	2	19b	27a	1046
1068	14	3	2	27b	31	1047
1068	14	4	1	1	4a	1047
1069	14	4	1	4b	12a	1048
1070	14	4	1	12b	24a	1049
1071	14	4	1	24b	33	1050
1071	14	4	2	1	1a	1050
1072	14	4	2	1b	15a	1051
1073	14	4	2	15b	23a	1052
1074	14	4	2	23b	29a	1053
1075	14	4	2	29b	31	1054
1075	14	4	3	1	6a	1054
1076	14	4	3	6b	19a	1055
1077	14	4	3	19b	27a	1056
1078	14	4	3	27b	34a	1057
1079	14	4	3	34b	34b	1058
1079	14	4	4	1	3	1058
1079	14	5	1	1	4a	1058
1080	14	5	1	4b	11a	1059
1081	14	5	1	11b	21a	1060
1082	14	5	1	21b	23	1061
1082	14	5	2	1	6	1061
1083	14	5	3	1	11	1062
1083	14	5	4	1	4a	1062
1084	14	5	4	4b	9a	1063
1085	14	5	4	9b	16	1064
1085	14	5	5	1	1a	1064
1086	14	5	5	1b	12a	1065
1087	14	5	5	12b	20a	1066
1088	14	5	5	20b	22	1067
1088	14	6	1	1	1a	1067
1089	14	6	1	1b	9a	1068
1090	14	6	1	9b	12	1069
1090	14	6	2	1	7a	1069
1091	14	6	2	7b	14	1070
1091	14	6	3	1	2a	1070
1092	14	6	3	2b	2b	1071
1092	14	6	4	1	1	1071
1092	14	6	5	1	1a	1071
1093	14	6	5	1b	1b	1072
1093	14	6	6	1	1	1072
1093	14	6	7	1	2a	1072
1094	14	6	7	2b	14a	1073
1095	14	6	7	14b	31	1074
1096	14	6	8	1	9a	1075
1097	14	6	8	9b	12	1076
1097	14	6	9	1	4a	1076
1098	14	6	9	4b	14a	1077
1099	14	6	9	14b	23a	1078
1100	14	6	9	23b	30a	1079
1101	14	6	9	30b	35	1080
1101	14	6	10	1	5a	1080
1102	14	6	10	5b	13a	1081
1103	14	6	10	13b	19	1082
1103	14	6	11	1	2a	1082
1104	14	6	11	2b	6	1083
1104	14	7	1	1	3a	1083
1105	14	7	1	3b	12a	1084
1106	14	7	1	12b	21a	1085
1107	14	7	1	21b	31a	1086
1108	14	7	1	31b	42a	1087
1109	14	7	1	42b	44	1088
1109	14	7	2	1	6a	1088
1110	14	7	2	6b	17a	1089
1111	14	7	2	17b	27a	1090
1112	14	7	2	27b	31	1091
1112	14	7	3	1	5a	1091
1113	14	7	3	5b	18a	1092
1114	14	7	3	18b	28a	1093
1115	14	7	3	28b	28b	1094
1115	14	8	1	1	1	1094
1115	14	8	2	1	4	1094
1116	14	8	3	1	1	1095
1116	14	8	4	1	1	1095
1116	14	8	5	1	1	1095
1116	14	8	6	1	5a	1095
1117	14	8	6	5b	5b	1096
1117	14	8	7	1	1	1096
1117	14	8	8	1	1	1096
1117	14	8	9	1	1	1096
1117	14	8	10	1	1	1096
1117	14	8	11	1	1	1096
1117	14	8	12	1	1a	1096
1118	14	8	12	1b	1b	1097
1118	14	8	13	1	3	1097
1118	14	8	14	1	4	1097
1118	14	8	15	1	2a	1097
1119	14	8	15	2b	11a	1098
1120	14	8	15	11b	12	1099
1120	14	9	1	1	7a	1099
1121	14	9	1	7b	17a	1100
1122	14	9	1	17b	19	1101
1122	14	9	2	1	5a	1101
1123	14	9	2	5b	14a	1102
1124	14	9	2	14b	15	1103
1124	14	9	3	1	7a	1103
1125	14	9	3	7b	20a	1104
1126	14	9	3	20b	22	1105
1126	14	9	4	1	7a	1105
1127	14	9	4	7b	15a	1106
1128	14	9	4	15b	23a	1107
1129	14	9	4	23b	31a	1108
1130	14	9	4	31b	33	1109
