abbr	len	ambiguous	raw	marked	unmarked	ctx1	ctx2	ctx3
imperat.	8		87	0	87	 {#Adat#} <ls>P. 7,3,100.</ls> <ls>VOP. 9,3.</ls> imperat. {#adDi/#} <ls>ṚV. 1,164,10.</ls> <ls>VS. 12,65.</	ehisvAgatA#} Zusammensetzungen von {#apehi#} (2te imperat. von {#i#} mit {#apa#}) + {#kawa, dvitIya, praGasa	tt), arch. auch {#arCati#}; nur im praes. potent. imperat. und imperf. (ep. {#AnarCat#}) im Gebrauch und von
Aufl.	5		86	0	86	ls>TRIK. 1,1,16.</ls> (<ls>WILS.</ls> in der 2ten Aufl.: {#anIca˚#}, <ls>ŚKDR.</ls> wie wir). <LEND>  <L>	%} <ls>HĀR. 110</ls> (<ls>WILS.</ls> in der 1sten Aufl.: {%Floh?%}, in der 2ten: {%weisse Ameise%}). Sowo	ls> im <ls>ŚKDR.</ls> (<ls>WILS.</ls> in der 2ten Aufl.: {#˚lASikA#}). <LEND>  <L>15875<pc>2-0184<k1>kavi
pron.	5		83	0	83	. 732.</ls> <ls>VET. 3,4.</ls> In Correl. mit dem pron. rel.: {#kiM nu#} (so ist zu lesen mit <ls>MBH. 1,	1694<pc>1-0123<k1>adas<k2>ada/s<h>1 1. {#ada/s#}¦ pron. sg. nom. <lex>m.</lex> <lex>f.</lex> {#asO/#}, <l	opAyena mantriBiH#} <ls n="R.">1,9,1.</ls> Dieses pron. und seine Ableitungen werden auch zur Bezeichnung
Corr.	5		78	0	78	ex>m.</lex> N. eines Baumes, {%Feronia elephantum Corr.%}, <lex>n.</lex> {%die Frucht%} <ls>AK. 2,4,2,1.<	n.</lex> (sic) {%die Rinde der Feronia elephantum Corr.%} ({#elavAluka#}) <ls>RĀJAN.</ls> im <ls>ŚKDR.</l	n. 173.</ls> <div n="1">— 2) {%Thespesia populnea Corr.%} <ls>AK. 2,4,2,23.</ls> <ls>TRIK.</ls> <ls>H. an
Var.	4		78	0	78	kalkala<k2>akalkala {#akalkala#}¦ <lex>adj.</lex> Var. von {#akalkana#} <ls>ŚKDR.</ls> u. {#akalkana#} .	</ls> beim <ls>Sch.</ls> zu <ls>ŚIŚ. 5,22.</ls> — Var. von {#pawI#} . <LEND>  <L>3732<pc>1-0280<k1>apawI	m sanctum%}, <ls>RATNAM.</ls> im <ls>ŚKDR.</ls> — Var. von {#apetarAkzasI#} . <LEND>  <L>4338<pc>1-0320<
Corrigg.	8		77	1	76	Avasatve)#} <ls>TRIK. 3,3,411.</ls> wäre nach den Corrigg. {#aBAvaH#} zu lesen. <LEND>  <L>1006<pc>1-0074<k1	s> <ls>MED. r. 130</ls> (der Text {#kareRu#}, die Corrigg. {#kaReru#}). <div n="v">— Vgl. {#gaReru#} . <LEND	> Der Name gedeutet <ls>R. 1,34,37</ls> (nach den Corrigg. {#kAnyakubja#} zu lesen, aber <ls>GORR. 1,35,35</
Astrol.	7		75	0	75	m#} <ls>HIT. III,131.</ls> <div n="1">— 2) in der Astrol. N. verschiedener Häuser <ls>Ind. St. II,275. 281.	RAGH. 1,">61.</ls> <ls n="RAGH.">4,4.</ls> in der Astrol. <ls>Ind. St. 2,285.</ls> {#arikarzaRa#} <ls>N. 12	ka#} und {#karmavipAka#} . <div n="1">— 8) in der Astrol. {%das zehnte Haus%} <ls>Ind. St. 2,281.</ls> <LEN
compon.	7		75	0	75	it {#ati + sam#}) <lex>n.</lex> {%das Betrügen%}, compon. mit seinem Obj.: {#parAtisaMDAnam#} <ls>ŚĀK. 121.	en weiter unten {#antikAt#}) <ls>R. 1,12,35.</ls> compon.: {#mfgAntikaM calitaH#} <ls>HIT. 43,19.</ls> Vgl.	e eben) <lex>adj.</lex> {%suchend%}, mit dem obj. compon.: {#SirasA caraRAnvezI#} <ls>R. 5,91,20.</ls> {#ku
uneig.	6		75	0	75	. der zum Aufbauen eines Opferheerdes verwendete; uneig. heissen so auch andere {%unter die Backsteine ein	344,12.</ls> {#SoRitodgAra#} <ls>R. 4,15,23.</ls> uneig.: {#madodgArasuganDizu kawezu kariRAm#} <ls>RAGH. 	 {#pAvakodgAriBirmuKEH#} <ls n="R.">3,29,11.</ls> uneig.: {#ruDirodgAri tadvapuH#} <ls>RĀJA-TAR. 5,59.</ls
dgl.	4		74	0	74	 n="ṚV. 1,">163,6.</ls> vom Gespann der Götter u. dgl.: {#a\re\Ravo^ hira\RyayA^sa ezAm (marutAm)#} <ls>	ex> {%mit weisslichen Fortsätzen (Abzweigungen u. dgl.) versehen%}: {#ba\Brorarju^nakARqasya\ yava^sya p	dabDAyo 'SItama#} (vgl. 1. {#aS#} mit {#Ayus#} u. dgl.). <LEND>  <L>6912<pc>1-0512<k1>aSipada<k2>aSipada
Th.	3	Y	72	0	72	as von <is>Murāri</is> <ls>WILSON</ls>, <ls>Hindu Th. II,375. fgg.</ls> <ls>Z. d. d. m. G. II,343, No. 	rDa (arDa — nema)#} {%der eine Theil — der andere Th., die Einen — die Andern%}: {#a\rDama\rDena\ paya^	AdeSAdABaraRAni patanti#} (vgl. <ls>WILSON, Hindu Th. I,51, N. 1</ls>) <ls>MṚCCH. 152,3.</ls> {#kakzAnt
potent.	7		72	0	72	325.</ls> part. praet. pass. <ls>R. 6,83,36.</ls> potent. <ls n="R.">5,26,42.</ls> fut. <ls n="R. 6,83,">43	3,154</ls>, <ls>Sch.</ls> (dieses {#api#} mit dem potent. ist das {#api saMBAvane#} oder {#saMBAvanAyAm#} <	 <div n="1">— 11) am Anfange des Satzes mit einem potent. {%ach wenn doch%}: {#api naH sa kule jAyAdyo no d
rel.	4		71	0	71	</ls> = <ls>H. 732.</ls> <ls>VET. 3,4.</ls> In Correl. mit dem pron. rel.: {#kiM nu#} (so ist zu lesen m	</ls> <ls>VET. 3,4.</ls> In Correl. mit dem pron. rel.: {#kiM nu#} (so ist zu lesen mit <ls>MBH. 1,5909.	ls n="ŚĀK.">122,10.</ls> <ls>PRAB. 31,18.</ls> correl. zu {#ya/tra#} <ls>ṚV. 5,44,9.</ls> {%dorthin%}: {
Dec.	4		70	0	70	monats ({%Nahrung —, Stärkung gebend), des Nov. — Dec.%} ({#kArttika#}) <ls>P. 4,4,128</ls>, <is>Vārtt</	}) und {%Desmodium%} ({%Hedysarum%}) {%gangeticum Dec.%} ({#SAlaparRI#}) <ls>VAIDY.</ls> im <ls>ŚKDR.</l	>MED.</ls> <div n="2">— c) {%Desmodium gangeticum Dec.%} ({#SAlaparRI#}). <div n="2">— d) {%Grislea tome
näml.	5		70	0	70	#amutra + BUya#}) <lex>n.</lex> {%das Dortsein%}, näml. {%in jener Welt%}, <ab>d. i.</ab> {%das Gestorben	 fgg.</ls> <div n="1">— 2) <lex>f.</lex> {#˚RI#}, näml. {#izwi#}, {%Erstlingsopfer%}, ein {#haviryajYa#} 	rAjanyAgate#} <ls>AIT. BR. 1,15.</ls> {#AtiTyA#}, näml. {#izwi#}, <ls>KĀTY. ŚR. 2,7,15.</ls> <ls n="KĀTY.
medic.	6		67	0	67	unken wird%}; dazu wird folgende Stelle aus einem medic. Werke citirt: {#anupAnaviSezeRa#} (wohl {#OzaDam#	UŚR. 1,368,18.</ls> <div n="1">— 2) {%abführen%} (medic.) <ls>SUŚR. 1,378,8.</ls> <ls n="SUŚR.">2,87,1.</l	> im <ls>ŚKDR.</ls> {#AtaNkadarpaRa#} Titel eines medic. Werkes <ls>Z. d. d. m. G. 2,338</ls> (<ls n="Z. d
das.	4		61	0	61	}¦ partic. praet. pass. von {#vah#} mit {#A#} (s. das.). Davon denom. {#oQIyati#}, imperf. {#OQIyat#} <l	RI#} <div n="2"> a) <lex>f.</lex> zu 2, {%b%}; s. das. <div n="2">— b) {%a surd or irrational number, a 	alimAraka#}¦ <lex>m.</lex> = {#kalikAraka#} 1 (s. das.). <LEND>  <L>15730<pc>2-0164<k1>kalimAlaka<k2>kal
demin.	6		61	0	61	0075<k1>ajYakA<k2>ajYakA {#ajYakA#}¦ = {#ajYikA#} demin. von {#ajYA#} <ls>P. 7,3,47.</ls> <LEND>  <L>1026<	. 1,1,12.</ls> <ls>VOP. 2,20.</ls> Mit dem {#ka#} demin.: {#asukaH#} oder {#asakO/#} (<ls>VS. 23,22.</ls> 	>anajakA<k2>anajakA {#anajakA#}¦ oder {#anajikA#} demin. von 3. {#a + ajA#} (s. u. 1. {#aja#} 1,c.) <ls>P.
imperf.	7		61	0	61	4</ls> : <ls>VID. 67.</ls> <ls n="VID.">161.</ls> imperf. <ls>N. 13,21.</ls> <div n="v">— Vgl. {#aciram, ac	/tti#} <ls>P. 2,4,72.</ls> <ls>DHĀTUP. 24,1.</ls> imperf. {#A/dam#} <ls>VS. 12,105.</ls> {#Adat#} <ls>P. 7,	. 4,4,3.</ls> {#a/nyate#} <ls>DHĀTUP. 26,66.</ls> imperf. {#AnIt#} od. {#Anat#} <ls>P. 7,3,98.</ls> <ls n="
astr.	5		60	0	60	kzRAm#} <ls>R. 2,32,37.</ls> <ls>AK. 2,9,60.</ls> astr. {%der Stier%} <ls>Ind. St. 2,259.</ls> <div n="1"	uSakaRwakAn#} <ls>R. 2,27,7.</ls> <div n="2">— l) astr. {%das erste, vierte, siebente und zehnte Haus%} <	 <L>17686<pc>2-0325<k1>kutTa<k2>kutTa {#kutTa#}¦ (astr.) {%der 15te%} <is>Yoga</is> <ls>Ind. St. 2,273.</
gramm.	6		59	0	59	n der Einl. zu <ls>AIT. BR.</ls> <div n="1">— 2) (gramm.) {%im täglichen Leben nicht anzutreffen, ungewöhn	12,8,3,14.</ls> pass. {%zusammengesetzt werden%} (gramm.): {#sarvo 'pyavayavo 'hnA samasyate#} <ls>P. 2,2,	ls>AMAR. 79.</ls> <ls>VID. 4.</ls> {%componirt%} (gramm.) <ls>P. 1,1,73</ls>, <is>Vārtt</is>. 3. <div n="1
lith.	5		59	0	59	 . — Wohl von 1. {#aS#}, vgl. zend. {%astrā%} und lith. {%akstinas.%} <LEND>  <L>7250<pc>1-0534<k1>azwrAv	ner in <is>Pūṇa</is> unter dem Titel {#rUpAvali#} lith. Grammatik. — {#nAyaka = cirasTa#} (?) <ls>TRIK. 3	itayA tizWatIti nfzadbudDiH#} Glosse in der Calc. lith. Ausg. von 1830 (GILD. 205). <div n="v">— Vgl. {#n
Kap.	4		58	0	58	#azwAvakra#} <ls>MBH. 1,449.</ls> <ls n="MBH.">3, Kap. 132-134</ls> in der Unterschr. <LEND>  <L>7245<pc	 heisst ein Abschnitt im 1sten Buch des <ls>MBH., Kap. 13-58.</ls> <LEND>  <L>9814<pc>1-0742<k1>Asteya<k	 n="1">— 3) {%Tod%} <ls>MBH. 1,4897.</ls> Buch 1, Kap. 102 in der Unterschr. <ls>DĀYABH. 97,10.</ls> <di
Uebertr.	8		58	0	58	l <ls n="M.">8,114</ls> — <ls n="M. 8,">116.</ls> Uebertr.: {#kulaM dahati rAjAgniH#} <ls n="M.">7,9.</ls> {	: {#drumAgrAnaBisaMpatanti#} <ls>R. 5,60,16.</ls> Uebertr.: {#Darmasya brAhmaRo mUlamagraM rAjanya ucyate#} 	tvA kalindIM jagmaturnadIm#} <ls>R. 2,55,12.</ls> Uebertr. {%vor allem Andern berücksichtigen%} (= {#puraH k
Gramm.	6		55	0	55	yojanAni#} <ls>ŚKDR.</ls> <div n="2">— i) (in der Gramm.) {%ein stummer Buchstab%} oder {%eine stumme Silb	>HIT. 20,20.</ls> <ls n="HIT.">33,12.</ls> In der Gramm. {%Fortdauer, Nachgeltung eines Wortes in einem na	8.</ls> <div n="1">— 4) {%Reduplication%} (in der Gramm.) <ls>NIR. 5,12.</ls> <ls>P. 6,1,4.</ls> <ls n="P.
Beiww.	6		53	0	53	>9,6,2.</ls> {#tantuvarDana#} und {#sutantu#} als Beiww. <is>Viṣṇu's</is> <ls>MBH. 13,7033.</ls> {#tantuva	#} <ls>MBH. 5,1029.</ls> {#˚nirvapaRa#} unter den Beiww. von <is>Śiva</is> <ls n="MBH.">13,1239.</ls> {#ny	H. S. 50,19.</ls> {#˚mAlin, ˚netra, paNkajANGri#} Beiww. <is>Viṣṇu's</is> <ls>BHĀG. P. 1,8,22.</ls> Am End
adjj.	5		53	0	53	vAha<k2>AjavAha/ {#AjavAha/#}¦ und {#A/javAhaka#} adjj. von {#ajavAha#} <is>gaṇa</is> {#kacCAdi#} zu <ls>	/lex> {#I#} und {#AQakIna#}, <lex>f.</lex> {#A#}, adjj. {%einen%} <is>Āḍhaka</is> {%fassend, mit einem%} 	a (AQyam#}, adv. von {#AQya, + Ba˚#} und {#BA˚#}) adjj. {%reich werdend%} <ls>P. 3,2,57.</ls> <ls>VOP. 26
Beinn.	6		52	0	52	DakUwa#} ({#a˚ + kA˚#} und {#kU˚#}) <lex>m.</lex> Beinn. von <is>Śiva</is> <ls>HEM.</ls> <ls>Ś. 46. 45.</l	s>) und {#urvaSIvallaBa#} ( <ls>TRIK. 2,8,8</ls>) Beinn. von <is>Purūravas</is>. {#urvaSItIrTa#} <ls>MBH. 	alikAla#} <ls>VET. 35,12.</ls> {#kali#} unter den Beinn. <is>Śiva's</is> <ls>MBH. 13,1192.</ls> Vgl. {#kal
Insbes.	7		52	0	52	ispielen auch als <lex>adj.</lex> gefasst werden. Insbes. heisst noch {#Arya#} <div n="2"> a) {%der Gebiete	'si#} (von <is>Śiva</is>) <ls>MBH. 12,10403.</ls> Insbes. bezeichnet {#kanda#} {%die Knolle des Amorphophal	igung%} ({#varRAnAM spazwatAdO#}) <ls>H. an.</ls> Insbes. {%das Schmieren mit der Hand%} ({#hastalepa#}) <l
absolut.	8		52	1	51	<ls>RĀJAN.</ls> im <ls>ŚKDR.</ls> — {#upadaMSam#} absolut. s. u. {#daMS#} mit {#upa#} . <LEND>  <L>11789<pc>	3835<pc>1-1124<k1>ozam<k2>o/zam<h>2 2. {#o/zam#}¦ absolut. von 1. {#uz#} nach <ls>SĀY.</ls> in der Stelle {#	h ziehen%}: {#yaTAdo 'SvAngA vA punaraByAkAraM#} (absolut.) {#tarpayanti#} <ls>AIT. BR. 3,5.</ls> <div n="p"
dopp.	5		52	0	52	rn <ls>ŚABDAM.</ls> im <ls>ŚKDR.</ls> Wohl das verdopp. {#are#}, also eig. {#are're#} zu schreiben. <LEND	 9,">39.</ls> {%anflehen; erbitten, bitten%}; mit dopp. acc.: {#a\gnimI^Le pu\rohi^tam#} <ls>ṚV. 1,1,1.</	s>KĀṬH. 34,5</ls> in <ls>Ind. St. 3,477.</ls> Mit dopp. acc.: {#aBijitA vE devA asurAnimAM lokAnaByajayan
Verb.	5		51	0	51	,14.</ls> Vgl. 7. <div n="1">— 4) {%dagegen%}, in Verb. mit einem relat.: {#yadi nASnAti pitfdevatyo Bava	 1) {%nach Gefallen%} <ls>AK. 3,5,10.</ls> in der Verb. {#yaTopajozam#} <ls>MBH. 1,7332.</ls> <ls n="MBH.	/lbya {#u/lbya#}¦ <lex>adj.</lex> von {#ulba#} in Verb. mit {#ApaH#} {%Fruchtwasser%} <ls>ŚAT. BR. 5,3,4,
vorang.	7		50	0	50	a^ mA\yA a^Dukzat#} <ls>ṚV. 5,40,8</ls> (vgl. die vorang. und folg. Verse). <ls n="ṚV.">5,2,6.</ls> {#sru\t	MAHĪDH.</ls> erklärt es durch {#atanavAn#} (s. d. vorang. Wort). — {#aTaryAH#} falsche Lesart statt {#a\Ta\	i\ zRuBi^H#}; s. u. {#snu#} . <div n="2">— c) mit vorang. (selten mitfolg.) abl. <div n="3"> α) {%über%}, ö
Ww.	3	Y	49	0	49	2,14</ls>; wahrscheinlich zur Erklärung der folg. Ww. erfunden. <LEND>  <L>1636<pc>1-0118<k1>aTarya<k2>	 Kategorie angepasster Naturlaut. Vgl. die folgg. Ww. <LEND>  <L>5295<pc>1-0386<k1>ambAqA<k2>ambAqA {#a	XIV. XXXII.</ls> <div n="v">— Vgl. die vorhergeh. Ww. <LEND>  <L>5503<pc>1-0397<k1>ayutASva<k2>ayutASva
etc.	4		49	0	49	> <ls>BALLANTYNE</ls> : {%perplexity about smoke, etc. — perplexity about dust, etc.%} <div n="1">— 2) {	lexity about smoke, etc. — perplexity about dust, etc.%} <div n="1">— 2) {%Verwirrung%}: {#(kfzRA) paYca	e who admit that the functions called Excitation, etc. are hyper-physical.%} — partic. {#upeta#} <div n=
verb.	5		49	0	49	m regierten Worte zu einem <lex>adj.</lex> oder adverb. comp.: {#atyaNgula#} {%über eine Daumenbreite sic	m regierten Worte zu einem <lex>adj.</lex> oder adverb. comp., s. {#aDaHkfzRAjinam, aDaspada, aDojAnu#} .	4.</ls> <ls n="YĀJÑ.">3,269.</ls> Am Ende eines adverb. comp. {#anasa/#} <is>gaṇa</is> {#SaradAdi#}, auch
astrol.	7		46	0	46	1,10,6.</ls> {#nizAdA˚#} <ls n="R. 1,">3,13.</ls> astrol. {%Regent%} <ls>Ind. St. II,280.</ls> <div n="v">—	A {#antardaSA#}¦ ({#antar + daSA#}) <lex>f.</lex> astrol. term.: {#daSAntardaSAviBAgADyAya#} <ls>VARĀH. L. 	leichbedeutend mit {#astamaya#} . <div n="1">— 4) astrol. {%das siebente Haus%} <ls>Ind. St. 2,281,21.</ls>
conj.	5		45	0	45	.</ls> ibid. aor. med. {#Arta, arAmahi, aranta#}; conj. 3. sg. {#Arata#}; fut. {#arizyati#}; prec. {#aryA	#arRavat#} <ls>AV. 5,2,8.</ls> könnte für imperf. conj. gelten, ist aber eher missverständliche Variante,	fNkte#} vorauszusetzen, das sich nicht findet; 1. conj. aor. {#fYjase#}.{# — f/jyati#}, auch med. (s. u. 
etym.	5		42	0	42	<k2>agri/ {#agri/#}¦ = {#agra eti = agni/#}, eine etym. Spielerei, <ls>ŚAT. BR. 2,2,4,2.</ls> <LEND>  <L>	608<pc>1-0113<k1>atra<k2>atra/<h>2 2. {#atra/#}¦ (etym. {#attra#}, von 1. {#ad#}) <lex>m.</lex> {%Fresser	609<pc>1-0113<k1>atra<k2>a/tra<h>3 3. {#a/tra#}¦ (etym. {#attra#}, von 1. {#ad#}) <lex>n.</lex> {%Nahrung
gerund.	7		42	0	42	ch {#paScAt#} <ls>INDR. 1,18.</ls> und nach einem gerund.: {#tasminyAvatsaMpAtamuzitvATEtamaDvAnaM punarniv	nAraByavAda {#anAraByavAda#}¦ (3. {#a + AraBya#} [gerund. von {#raB#} mit {#A] — vAda#}) <lex>m.</lex> {%ei	#anAraByADIta#}¦ ({#anAraBya#} [3. {#a + AraBya#} gerund. von {#raB#} mit {#A#}] + {#ADIta#}) = {#SrOtakarm
ablat.	6		41	0	41	{#ime brAhmaRyO kule vA BojayataH#} <ls>Sch.</ls> ablat.: {#itaretarataH#} ({%den Einen vom Andern%}) {#pA	ls>ŚĀNTIŚ. 3,6.</ls> <div n="1">— 5) {#kziprAt#} (ablat.) {%schnell darauf%} <ls>VID. 212.</ls> <div n="1"	9125<pc>3-0289<k1>tasmAt<k2>ta/smAt {#ta/smAt#}¦ (ablat. von 1. {#ta#}) adv. {%daher, deshalb%} (correl. m
n. pr.	6		41	0	41	adj.</lex> {%recht preisend%}, nach <ls>SĀY.</ls> n. pr. <ls>ṚV. 1,112,20.</ls> <LEND>  <L>13042<pc>1-1051	/ls> <div n="1">— 3) <lex>f.</lex> {#kamaRqalU/#} n. pr. <ls>P. 4,1,72.</ls> <LEND>  <L>14993<pc>2-0074<k1	von 2. {#karz#}). Accent eines darauf ausgehenden n. pr. <ls n="P.">6,2,129.</ls> <div n="1"> 1) <lex>m.</
d. Ww.	6		40	0	40	 pflegt, weil man sie von {#ard#} ableitet; s. u. d. Ww. <div n="1">— 4) {%einfügen, einsetzen%}: {#A Ga\ 	38,7.</ls> {#sacA#} <ls n="ṚV.">1,9,3.</ls> S. u. d. Ww. <div n="1">— 2) praep. <div n="2"> a) {%zu — hin,	 {%ein berauschendes Getränk%} aufgeführt; s. u. dd. Ww.) <ls>SUŚR. 1,190,8.</ls> <ls>R. 5,12,42.</ls> {#S
Anm.	4		39	0	39	s. <ls>ROTH</ls>, Erläut. z. <ls>NIR. S. 87.</ls> Anm. Ein wirkliches {#Adeva#} s. u. d. W. Als oxytonon	9</ls>; vgl. <ls>ROTH</ls>, Erl. zum <ls>NIR. 43, Anm.</ls> <LEND>  <L>2610<pc>1-0189<k1>anitya<k2>anity	ṄKH. BR. 8,2. 16,4.</ls> <ls>Ind. St. 2,312</ls>, Anm. <div n="v">— Vgl. {#arDuka#} . <LEND>  <L>9294<pc
Comp.	5		39	0	39	ls>P. 5,4,71.</ls> {#arAjA#} (sonst am Ende eines Comp. — {#rAjas), asaKA#} (sonst — {#saKas#}), ({#agOs#	¦ (von 1. {#aMSa#}) am Ende eines <lex>adj.</lex> Comp.: {#sarve vA syuH samAMSinaH#} {%oder alle mögen g	h {#cInAMSuka#} . — Am Ende eines <lex>adj.</lex> Comp. <lex>f.</lex> {#A#} <ls>ŚIŚ. 13,31.</ls> <ls>VIKR
Etym.	5		38	0	38	is> Welt: {#araSca ha vE RyaScArRavO#} (spielende Etym. von {#arRava) brahmaloke#} <ls>CHĀND. UP. 8,5,3.<	macaryameva tadaraSca ha vE RyaScArRavO#} (spiel. Etym.) {#brahmaloke tftIyasyAmito divi#} <ls>CHĀND. UP.	macaryameva tadaraSca ha vE RyaScArRavO#} (spiel. Etym.) {#brahmaloke#} u.s.w. <ls>CHĀND. UP. 8,5,3.</ls>
Lexicogrr.	10		38	0	38	deutungen des adv. {#ati#} zerlegen die indischen Lexicogrr. in vier: <div n="3"> α) {#prakarze#} <ls>AK. 3,4,	. <ls>Uṇ. 2,98.</ls> <ls>NIR. 5,10.</ls> Nach den Lexicogrr. <lex>m.</lex> <lex>f.</lex> <ls>AK. 2,7,18.</ls> 	ARIV.">233.</ls> <ls n="HARIV.">12448.</ls> — Die Lexicogrr. geben folg. Bedeutt.: <div n="2"> a) {%Wasser%} <
Scholl.	7		38	0	38	HAṬṬ. 7,38</ls> : {#PalAnAmalamASitAH#}, wo beide Scholl. die praep. annehmen). <ls>H. 426.</ls> {#anASita#	AvaGawita#} <ls>PRAB. 76,14</ls> (v. l. und beide Scholl.: {#aSani#}). <div n="1">— 2) N. eines Kriegerstam	vertrauen, Grossthuerei%} <ls>H. 318.</ls> In den Scholl. zu <ls>BHAṬṬ. 5,27</ls> wird {#AhopuruzikA#} durc
s. v.	5		37	0	37	,30,1.</ls> <div n="1">— 2) {%Fluch, Verdammung%} s. v. a. {%Unglück%}: {#naBo\ na rU\paM ja^ri\mA mi^nAt	s> = <ls>BṚH. ĀR. UP. 3,9,18</ls>; dem Sinne nach s. v. a. {%hast du dir für die Brahmanen die Finger ver	3.</ls> {#tasmAdaSmano 'yo Damanti#} (ebenso wohl s. v. a. {%Erzgestein%}, vgl. <ls>ṚV. 9,112,2</ls> : {#
Nom.	4		36	0	36	5] {#aMSuka#} und {#aMSupawwa#} . <div n="1">— 7) Nom. pr. <div n="2"> a) eines <is>Ṛṣi</is>, <ls>ṚV. 8,	 5,42.</ls> <ls>YĀJÑ. 3,144.</ls> <div n="1">— 2) Nom. pr. <div n="2"> a) ein König aus der Sonnendynast	} <ls>M. 2,33.</ls> <div n="1">— 2) <lex>m.</lex> Nom. pr. eines Mannes <ls>NIR. 2,2.</ls> <is>Kṛṣṇa's</
geschr.	7		36	0	36	von grosser Stärke: {#praskandibala (praskandI˚#} geschr.) <ls>VYUTP. 189.</ls> <LEND>  <L>50173<pc>4-1103<	ati#} <ls>AV. 4,19,3.</ls> {#PaqQatAH (PaQQatAH#} geschr.) {#pipIlikAH#} <ls>KAUŚ. 116.</ls> <ls>BHĀG. P. 6	UJJVAL.</ls> zu <ls>UṆĀDIS. 4,117</ls> {#(vahli#} geschr.). <div n="v">— Vgl. das folgende Wort und {#bAlhi
plur.	5		36	0	36	ls n="AV.">11,9,7.</ls> <ls n="AV.">12,4,3.</ls> (plur.) {#agnizwomAdikAnmaKAn#} <ls>M. 2,143.</ls> {#agn	 <ls>KUMĀRAS. 2,47.</ls> <ls>VP. 153. 78</ls>, N. plur. <ls>NAIGH. 1,14.</ls> Die Lexicographen bezeichne	aviviDopaplavAH pAlayantu#} <ls>PRAB. 118,3.</ls> plur. <ls>RAGH. 2,48.</ls> {#vanopaplava#} <ls>MEGH. 17
dies.	5		35	0	35	er das heilige Feuer unterhält%} ({#agnihotrin#}) dies. <div n="1">— 2) <lex>f.</lex> {#aNka/ti#} oder {#	 <ls>MED. r. 109.</ls> <div n="1">— 4) {%Wasser%} dies. und <ls>H. ś. 163</ls> (n.); vgl. {#aNkANka, aNku	{%ein Brahman, der das heilige Feuer unterhält%}, dies. <div n="1">— 3) <is>Brahman</is>, dies. <div n="1
Autt.	5		34	0	34	ex> N. pr. eines Fürsten <ls>VP. 443.</ls> Andere Autt.: {#durdama#} . <LEND>  <L>33756<pc>3-0690<k1>dury	d <ls>WILSON</ls>, unter Verweisung auf dieselben Autt., dieser Form des Wortes; nur lesen beide {#cakra#	erkannt wird; dieses bedeutet aber nach denselben Autt. auch {#pIWa#} {%Sitz.%} {#Asana˚#} {%ein flacher 
Art.	4		33	0	33	des 7ten schwarzen <is>Vāsudeva</is>; s. d. folg. Art. <LEND>  <L>484<pc>1-0036<k1>agnisiMhanandana<k2>a	 erste, wichtigste Herbeischaffung%}; s. d. folg. Art. <LEND>  <L>589<pc>1-0043<k1>agropaharaRIya<k2>agr	 fortzutragen, bleibend, beständig%}; s. d. folg. Art. <LEND>  <L>2414<pc>1-0179<k1>anavaBrarADas<k2>ana
dergl.	6		33	0	33	ls> {#anilApaha#} <ls n="SUŚR.">1,232,12.</ls> u. dergl. <div n="1">— 4) N. pr. <div n="2"> a) der 17te <i	SmA pfSniraBavat#} ({%bunter Kiesel, Achat%} oder dergl.) <ls>ŚAT. BR. 6,1,2,3.</ls> <ls n="ŚAT. BR.">9,2,	"1">— 2) {%verworrene Masse von Fasern, Wolle und dergl.%}; scherzhaft von {%krausem Haarwuchs%}: {#Sira^s
des.	4		33	0	33	er weist {#etad#} gleichfalls auf etwas Nachfolgendes. Nur selten geht der relat. Satz voran: {#yadetatp	ltenen, offenbar berühmten und vielgebrauchten Liedes. Die Deutung auf den Gott ist hier und in vielen a	 ersten Hälfte des 1sten Tages des zunehmenden Mondes. Wegen ihrer {%Beweglichkeit%} heissen die 7 erste
bed.	4		32	3	29	trAtumanyo nago nagam#} <ls>DAŚ. 1,40.</ls> Gleichbed. mit {#anya — anya#} ist {#eka — anya#} <ls>ŚVETĀŚ	#ArADaya#}¦ (wie eben) <lex>adj.</lex> wohl gleichbed. mit d. folg. W. <is>gaṇa</is> {#brAhmaRAdi#} zu <	nAm#} <ls>BHARTṚ. 1,18.</ls> In den folg. Beispp. bed. {#u#} {%dagegen%} (vgl. 4): {#devarAjamapi krudDa
ibid.	5		32	0	32	ravyAnniH kra\vyAda^M nu\dA de^va\yaja^naM vaha#} ibid. <ls n="AV. 12,2,">42.</ls> Vgl. <ls>MAHĪDH.</ls> 	#} <ls>P. 5,4,76</ls>, <ls>Sch.</ls> {#gavAkzaH#} ibid. und <ls>VOP. 6,77.</ls> Vgl. {#akza#} n., {#akzan	">— e) Name einer Pflanze, {%Achyranthes aspera%} ibid. <div n="2">— f) {%die höchste Gottheit, der letzt
musik.	6		32	0	32	"> 1) {%ein zur Begleitung des Tanzes gebrauchtes musik. Instrument, Cymbel oder Klappern%}: {#yatrA^GA\wA	fllaka#}¦ <lex>m.</lex> {%Spieler auf einem best. musik. Instrument%} <ls>BURN.</ls> <ls>Lot. de la b. l. 	I<k2>fllarI {#fllarI#}¦ <lex>f.</lex> {%ein best. musik. Instrument%} <ls>BURN.</ls> <ls>Lot. de la b. l. 
