page	kaṇḍa	prapāṭhaka	anuvāka	vers from	vers to	int page
175	1	8	10	2b	3	168
176	2	1	1	1	3a	169
177	2	1	1	3b	3b	170
177	2	1	2	1	3a	170
178	2	1	2	3b	7a	171
179	2	1	2	7b	10	172
180	2	1	2	11	12	173
180	2	1	3	1	1	173
181	2	1	3	2	6a	174
182	2	1	3	6b	9a	175
183	2	1	3	9b	9b	176
183	2	1	4	1	3a	176
184	2	1	4	3b	7a	177
185	2	1	4	7b	9	178
185	2	1	5	1	1	178
186	2	1	5	2	5a	179
187	2	1	5	5b	9a	180
188	2	1	5	9b	11	181
189	2	1	6	1	4a	182
190	2	1	6	4b	5	183
190	2	1	7	1	1	183
191	2	1	8	1	3	184
192	2	1	9	1	3	185
192	2	1	10	1a	1a	185
193	2	1	10	1b	3	186
194	2	1	11	1	1	187
195	2	2	1	1	3a	188
196	2	2	1	3b	7a	189
197	2	2	1	7b	7b	190
197	2	2	2	1	2a	190
198	2	2	2	2b	5a	191
199	2	2	2	5b	6	192
199	2	2	3	1	1	192
200	2	2	3	2	5a	193
201	2	2	3	5b	7	194
202	2	2	4	1	4a	195
203	2	2	4	4b	7	196
204	2	2	5	1	3a	197
205	2	2	5	3b	6a	198
206	2	2	5	6b	6b	199
206	2	2	6	1	3	199
207	2	2	6	4	4	200
207	2	2	7	1	2	200
208	2	2	7	3	4	201
208	2	2	8	1a	1a	201
209	2	2	8	1b	5a	202
210	2	2	8	5b	8	203
211	2	2	9	1	4	204
212	2	2	9	5	8a	205
213	2	2	9	8b	10	206
214	2	2	10	1	3a	207
215	2	2	10	3b	7a	208
216	2	2	10	7b	7b	209
216	2	2	11	1	2a	209
217	2	2	11	2b	5a	210
218	2	2	11	5b	6	211
219	2	3	1	1	2	212
220	2	3	1	3	3	213
220	2	3	2	1	2a	213
221	2	3	2	2b	5a	214
222	2	3	2	5b	5b	215
222	2	3	3	1	2	215
223	2	3	4	1	3a	216
224	2	3	4	3b	6a	217
225	2	3	4	6b	6b	218
225	2	3	5	1	1	218
226	2	3	5	2	5a	219
227	2	3	5	5b	6	220
227	2	3	6	1	2b	220
228	2	3	6	2b	4	221
229	2	3	7	1	3	222
230	2	3	7	4	4	223
230	2	3	8	1	2a	223
231	2	3	8	2b	3	224
231	2	3	9	1	2a	224
232	2	3	9	2b	6a	225
233	2	3	9	6b	9a	226
234	2	3	9	9b	9b	227
234	2	3	10	1	3a	227
235	2	3	10	3b	4	228
235	2	3	11	1	2a	228
236	2	3	11	2b	4	229
237	2	4	1	1a	1a	230
238	2	4	1	1b	4	231
239	2	4	1	5	8	232
240	2	4	1	9	11	233
241	2	4	2	1	4a	234
242	2	4	2	4b	7	235
243	2	4	2	8	9	236
243	2	4	3	1	1	236
244	2	4	3	2	4	237
245	2	4	3	5	8a	238
246	2	4	3	8b	11a	239
247	2	4	3	11b	13	240
248	2	4	4	1	3	241
249	2	4	4	4	7a	242
250	2	4	4	7b	9	243
251	2	4	5	1	4a	244
252	2	4	5	4b	7a	245
253	2	4	5	7b	7b	246
253	2	4	6	1	2	246
254	2	4	6	3	6a	247
255	2	4	6	6b	9	248
256	2	4	6	10	12	249
257	2	4	7	1	3a	250
258	2	4	7	3b	7a	251
259	2	4	7	7b	10a	252
260	2	4	7	10b	11	253
260	2	4	8	1a	1a	253
261	2	4	8	1b	5a	254
262	2	4	8	5b	7	255
263	2	5	1	1	2a	256
264	2	5	1	2b	3	257
264	2	5	2	1a	1a	257
265	2	5	2	1b	4a	258
266	2	5	2	4b	4b	259
266	2	5	3	1	3a	259
267	2	5	3	3b	3b	260
267	2	5	4	1	2a	260
268	2	5	4	2b	5a	261
269	2	5	4	5b	6	262
269	2	5	5	1	2a	262
270	2	5	5	2b	5a	263
271	2	5	5	5b	7	264
271	2	5	6	1a	1a	264
272	2	5	6	1b	4a	265
273	2	5	6	4b	5	266
274	2	5	7	1a	1a	267
274	2	5	7	1b	4a	267
275	2	5	7	4b	4b	268
275	2	5	8	1	2	268
276	2	5	8	3	6a	269
277	2	5	8	6b	9a	270
278	2	5	8	9b	12a	271
279	2	5	8	12b	12b	272
280	2	6	1	1	3	273
281	2	6	1	4	5	274
281	2	6	2	1a	1a	274
282	2	6	2	1b	3	275
283	2	6	3	1	3a	276
284	2	6	3	3b	5	277
285	2	6	4	1	3a	278
286	2	6	4	3b	6a	279
287	2	6	4	6b	6b	280
287	2	6	5	1	3a	280
288	2	6	5	3b	7a	281
239	2	6	5	7b	8	232
289	2	6	6	1	2a	282
290	2	6	6	2b	5	283
291	2	6	7	1	4a	284
292	2	6	7	4b	6	285
292	2	6	8	1	2a	285
293	2	6	8	2b	3	286
294	2	6	8	4	4	287
294	2	6	9	1	1	287
295	2	6	10	1	3	288
296	2	6	10	4	6	289
297	2	6	11	1	2a	290
298	2	6	11	2b	5	291
299	2	6	11	6	9a	292
300	2	6	11	9b	11	293
301	2	6	12	1	3	294
302	2	6	12	4	4	295
302	2	6	13	1	2a	295
303	2	6	13	2b	3	296
303	2	6	14	1	1	296
304	2	6	14	2	5a	297
305	2	6	14	5b	6	298
306	2	6	15	1	2a	299
307	2	6	15	2b	2b	300
307	2	6	16	1	1	300
308	2	6	16	2	2	301
308	2	6	17	1	2a	301
309	2	6	17	2b	5	302
310	2	6	17	6	7	303
311	2	6	18	1	3a	304
312	2	6	18	3b	4	305
312	2	6	19	1	1	305
313	2	6	19	2	2	306
313	2	6	20	1	2a	306
314	2	6	20	2b	5a	307
315	2	6	20	5b	5b	308
316	2	7	1	1a	1a	309
317	2	7	1	1b	4a	310
318	2	7	1	4b	4b	311
318	2	7	2	1	2	311
318	2	7	3	1a	1a	311
319	2	7	3	1b	3	312
320	2	7	4	1	1	313
320	2	7	5	1	2a	313
321	2	7	5	2b	2b	314
321	2	7	6	1	3a	314
322	2	7	6	3b	3b	315
322	2	7	7	1	3a	315
323	2	7	7	3b	7a	316
324	2	7	7	7b	7b	317
324	2	7	8	1	2a	317
325	2	7	8	2b	2b	318
325	2	7	9	1	3a	318
326	2	7	9	3b	5	319
326	2	7	10	1a	1a	319
327	2	7	10	1b	2	320
327	2	7	11	1	2a	320
328	2	7	11	2b	3	321
328	2	7	12	1	1	321
329	2	7	12	2	5a	322
330	2	7	12	5b	6	323
330	2	7	13	1	1	323
331	2	7	13	2	4a	324
332	2	7	13	4b	4b	325
332	2	7	14	1	2a	325
333	2	7	14	2b	2b	326
333	2	7	15	1	3a	326
334	2	7	15	3b	6a	327
335	2	7	15	6b	6b	328
335	2	7	16	1	2	328
336	2	7	16	3	4	329
336	2	7	17	1a	1a	329
337	2	7	17	1a	3	330
338	2	7	18	1	3a	331
339	2	7	18	3b	5	332
340	2	8	1	1	2a	333
341	2	8	1	2b	5a	334
342	2	8	1	5b	6	335
342	2	8	2	1	1	335
343	2	8	2	2	4	336
344	2	8	2	5	8a	337
345	2	8	2	8b	8b	338
345	2	8	3	1	2a	338
346	2	8	3	2b	5a	339
347	2	8	3	5b	8a	340
348	2	8	3	8b	8b	341
348	2	8	4	1	2a	341
349	2	8	4	2b	5a	342
350	2	8	4	5b	8a	343
351	2	8	4	8b	8b	344
351	2	8	5	1	2a	344
352	2	8	5	2b	5a	345
353	2	8	5	5b	8a	346
354	2	8	5	8b	8b	347
354	2	8	6	1	2a	347
355	2	8	6	2b	5a	348
356	2	8	6	5b	8a	349
357	2	8	6	8b	9	350
357	2	8	7	1	1	350
358	2	8	7	2	4	351
359	2	8	7	5	7a	352
360	2	8	7	7b	10	353
361	2	8	8	1	3a	354
362	2	8	8	3b	6a	355
363	2	8	8	6b	10a	356
364	2	8	8	10b	12	357
365	2	8	9	1	3a	358
366	2	8	9	3b	6a	359
367	2	8	9	6b	9a	360
368	2	8	9	9b	9b	361
8	3	1	1	1	2	1
9	3	1	1	3	6a	2
10	3	1	1	6b	9a	3
11	3	1	1	9b	12a	4
12	3	1	1	12b	12b	5
12	3	1	2	1	2	5
13	3	1	2	3	6a	6
14	3	1	2	6b	9a	7
15	3	1	2	9b	12	8
16	3	1	3	1	3a	9
17	3	1	3	3b	3b	10
17	3	1	4	1	2a	10
18	3	1	4	2b	5a	11
19	3	1	4	5b	8a	12
20	3	1	4	8b	11a	13
21	3	1	4	11b	14a	14
22	3	1	4	14b	15	15
22	3	1	5	1a	1a	15
23	3	1	5	1b	4a	16
24	3	1	5	4b	7a	17
25	3	1	5	7b	9	18
26	3	1	5	10	12	19
27	3	1	5	13	15	20
28	3	1	6	1	2a	21
29	3	1	6	2b	4a	22
30	3	1	6	4b	7	23
32	3	2	1	1	2a	25
33	3	2	1	2b	5a	26
34	3	2	1	5b	5b	27
34	3	2	2	1	2a	27
35	3	2	2	2b	5a	28
36	3	2	2	5b	8a	29
37	3	2	2	8b	9	30
37	3	2	3	1	2a	30
38	3	2	3	2b	5	31
39	3	2	3	6	8	32
40	3	2	3	9	12a	33
41	3	2	3	12b	12b	34
41	3	2	4	1	1	34
42	3	2	4	2	5a	35
43	3	2	4	5b	7	36
44	3	2	5	1	3	37
45	3	2	5	4	7a	38
46	3	2	5	7b	9	39
47	3	2	5	10	11	40
47	3	2	6	1a	1a	40
48	3	2	6	1b	3	41
49	3	2	6	4	4	42
50	3	2	7	1	1	43
50	3	2	7	2	5a	43
51	3	2	7	5b	6	44
51	3	2	8	1a	1a	44
52	3	2	8	1b	4	45
53	3	2	8	5	8a	46
54	3	2	8	8b	11	47
55	3	2	8	12	12	48
55	3	2	9	1	2a	48
56	3	2	9	2b	5a	49
57	3	2	9	5b	8	50
58	3	2	9	9	12a	51
59	3	2	9	12b	15a	52
60	3	2	9	15b	15b	53
60	3	2	10	1	2	53
61	3	2	10	3	3	54
62	3	3	1	1	3	55
63	3	3	1	4	5	56
63	3	3	2	1a	1a	56
64	3	3	2	1b	4a	57
65	3	3	2	4b	5	58
65	3	3	3	1	2a	58
66	3	3	3	2b	5a	59
67	3	3	3	5b	5b	60
67	3	3	4	1	3a	60
68	3	3	4	3b	6a	61
69	3	3	4	6b	6b	62
69	3	3	5	1	3a	62
70	3	3	5	3b	5	63
70	3	3	6	1a	1a	63
71	3	3	6	1b	4a	64
72	3	3	6	4b	8a	65
73	3	3	6	8b	11a	66
74	3	3	6	11b	11b	67
74	3	3	7	1	2a	67
75	3	3	7	2b	5a	68
76	3	3	7	5b	8a	69
77	3	3	7	8b	11a	70
78	3	3	7	11b	11b	71
78	3	3	8	1	2	71
79	3	3	8	3	6a	72
80	3	3	8	6b	9a	73
81	3	3	8	9b	11	74
82	3	3	9	1	4a	75
83	3	3	9	4b	7a	76
84	3	3	9	7b	10a	77
85	3	3	9	10b	12	78
86	3	3	10	1	3	79
87	3	3	10	4	4	80
87	3	3	11	1	2a	80
88	3	3	11	2b	4	81
89	3	4	1	1	3a	82
90	3	4	1	3b	7a	83
91	3	4	1	7b	11a	84
92	3	4	1	11b	14	85
93	3	4	1	15	18	86
94	3	4	1	19	19	87
94	3	5	1	1a	1a	87
95	3	5	1	1b	1b	88
95	3	5	2	1	3a	88
96	3	5	2	3b	3b	89
96	3	5	3	1	2	89
97	3	5	4	1	1	90
97	3	5	5	1	1	90
97	3	5	6	1a	1a	90
98	3	5	6	1b	1b	91
98	3	5	7	1	2a	91
99	3	5	7	2b	5	92
100	3	5	7	6	6	93
100	3	5	8	1a	1a	93
101	3	5	8	1b	3	94
101	3	5	9	1a	1a	94
102	3	5	9	1b	1b	95
102	3	5	10	1	3a	95
103	3	5	10	3b	5	96
104	3	5	11	1	1	97
104	3	5	12	1	1	97
105	3	5	13	1	3a	98
106	3	5	13	3b	3b	99
106	3	6	1	1a	1a	99
107	3	6	1	1b	3	100
108	3	6	2	1	2a	101
109	3	6	2	2b	2b	102
110	3	6	3	1	3	103
111	3	6	3	4	4	104
111	3	6	4	1	1	104
112	3	6	5	1	1	105
112	3	6	6	1	3a	105
113	3	6	6	3b	4	106
113	3	6	7	1	2a	106
114	3	6	7	2b	2b	107
114	3	6	8	1	2	107
114	3	6	9	1a	1a	107
115	3	6	9	1b	1b	108
115	3	6	10	1	2a	108
116	3	6	10	2b	5a	109
117	3	6	10	5b	5b	110
117	3	6	11	1	2a	110
118	3	6	11	2b	4	111
119	3	6	12	1	2	112
119	3	6	13	1a	1a	112
120	3	6	13	1b	1b	113
121	3	6	13	1b	1b	114
122	3	6	14	1	3	115
123	3	6	15	1	1	116
124	3	7	1	1	3a	117
125	3	7	1	3b	6	118
126	3	7	1	7	9a	119
127	3	7	1	9b	9b	120
127	3	7	2	1	3a	120
128	3	7	2	3b	6a	121
129	3	7	2	6b	7	122
130	3	7	3	1	4a	123
131	3	7	3	4b	7a	124
132	3	7	3	7b	7b	125
132	3	7	4	1	2a	125
133	3	7	4	2b	5a	126
134	3	7	4	5b	8	127
135	3	7	4	9	12a	128
136	3	7	4	12b	15	129
137	3	7	4	16	18	130
138	3	7	5	1	3a	131
139	3	7	5	3b	7a	132
140	3	7	5	7b	11a	133
141	3	7	5	11b	13a	134
142	3	7	5	13b	13b	135
142	3	7	6	1	3a	135
143	3	7	6	3b	6a	136
144	3	7	6	6b	9a	137
145	3	7	6	9b	12a	138
146	3	7	6	12b	15a	139
147	3	7	6	15b	19a	140
148	3	7	6	19b	22	141
149	3	7	6	23	23	142
150	3	7	7	1	3	143
151	3	7	7	4	7a	144
152	3	7	7	7b	10a	145
153	3	7	7	10b	13	146
154	3	7	7	14	14	147
154	3	7	8	1	1	147
155	3	7	8	2	3	148
155	3	7	9	1a	1a	148
156	3	7	9	1b	4	149
157	3	7	9	5	8a	150
158	3	7	9	8b	9	151
158	3	7	10	1a	1a	151
159	3	7	10	1b	4a	152
160	3	7	10	4b	6	153
161	3	7	11	1	3a	154
162	3	7	11	3b	5	155
163	3	7	12	1	3	156
164	3	7	12	4	6	157
165	3	7	13	1	2	158
166	3	7	13	3	4	159
166	3	7	14	1a	1a	159
167	3	7	14	1b	3	160
168	3	7	14	4	5	161
169	3	8	1	1	2a	162
170	3	8	1	2b	2b	163
170	3	8	2	1	3a	163
171	3	8	2	3b	4	164
171	3	8	3	1	1	164
172	3	8	3	2	5a	165
173	3	8	3	5b	6	166
173	3	8	4	1a	1a	166
174	3	8	4	1b	3	167
175	3	8	5	1	3a	168
176	3	8	5	3b	4	169
176	3	8	6	1	2a	169
177	3	8	6	2b	5a	170
178	3	8	6	5b	5b	171
178	3	8	7	1	2a	171
179	3	8	7	2b	3	172
180	3	8	8	1	4a	173
181	3	8	8	4b	4b	174
181	3	8	9	1	2a	174
182	3	8	9	2b	4a	175
183	3	8	9	4b	4b	176
183	3	8	10	1	3a	176
184	3	8	10	3b	5	177
184	3	8	11	1a	1a	177
185	3	8	11	1b	2	178
186	3	8	12	1	2a	179
187	3	8	12	2b	2b	180
187	3	8	13	1	2	180
188	3	8	13	3	3	181
188	3	8	14	1	2a	181
189	3	8	14	2b	6a	182
190	3	8	14	6b	6b	183
190	3	8	15	1	2a	183
191	3	8	15	2b	3	184
191	3	8	16	1	1	184
192	3	8	16	2	4a	185
193	3	8	16	4b	4b	186
193	3	8	17	1	2a	186
194	3	8	17	2b	5a	187
195	3	8	17	5b	5b	188
195	3	8	18	1	2	188
196	3	8	18	3	5a	189
197	3	8	18	5b	6	190
197	3	8	19	1a	1a	190
198	3	8	19	1b	2	191
198	3	8	20	1	1	191
199	3	8	20	2	5a	192
200	3	8	20	5b	5b	193
200	3	8	21	1	2	193
201	3	8	21	3	4	194
201	3	8	22	1a	1a	194
202	3	8	22	1b	3	195
203	3	8	23	1	3a	196
204	3	8	23	3b	3b	197
205	3	9	1	1	3a	198
206	3	9	1	3b	4	199
206	3	9	2	1	1	199
207	3	9	2	2	4	200
208	3	9	3	1	3a	201
209	3	9	3	3b	3b	202
209	3	9	4	1	3a	202
210	3	9	4	3b	6a	203
211	3	9	4	6b	8	204
212	3	9	5	1	3a	205
213	3	9	5	3b	5	206
214	3	9	6	1	3	207
215	3	9	6	4	5	208
215	3	9	7	1a	1a	208
216	3	9	7	1b	4	209
217	3	9	7	5	5	210
217	3	9	8	1	2a	210
218	3	9	8	2b	3	211
218	3	9	9	1a	1a	211
219	3	9	9	1b	3	212
220	3	9	10	1	1	213
220	3	9	11	1a	1a	213
221	3	9	11	1b	4a	214
222	3	9	11	4b	4b	215
222	3	9	12	1	3a	215
223	3	9	12	3b	3b	216
223	3	9	13	1	2a	216
224	3	9	13	2b	3	217
224	3	9	14	1	2a	217
225	3	9	14	2b	4	218
226	3	9	15	1	3a	219
227	3	9	15	3b	3b	220
227	3	9	16	1	2a	220
228	3	9	16	2b	4	221
229	3	9	17	1	4a	222
230	3	9	17	4b	5	223
230	3	9	18	1	1	223
231	3	9	18	2	2	224
231	3	9	19	1	2a	224
232	3	9	19	2b	3	225
233	3	9	20	1	2	226
234	3	9	21	1	3a	227
235	3	9	21	3b	3b	228
235	3	9	22	1	3a	228
236	3	9	22	3b	4	229
236	3	9	23	1	2a	229
237	3	9	23	2b	2b	230
238	3	10	1	1	2a	231
239	3	10	1	2b	4	232
240	3	10	2	1	1	233
240	3	10	3	1a	1a	233
241	3	10	3	1b	1b	234
241	3	10	4	1	2	234
242	3	10	4	3	3	235
242	3	10	5	1	1	235
243	3	10	6	1	1	236
243	3	10	7	1	1	236
243	3	10	8	1a	1a	236
244	3	10	8	1b	5a	237
245	3	10	8	5b	9a	238
246	3	10	8	9b	9b	239
246	3	10	9	1	3a	239
247	3	10	9	3b	6	240
248	3	10	9	7	10	241
249	3	10	9	11	14a	242
250	3	10	9	14b	15	243
251	3	10	10	1	3a	244
252	3	10	10	3b	5	245
253	3	10	11	1	3a	246
254	3	10	11	3b	6a	247
255	3	10	11	6b	7	248
256	3	11	1	1	2a	249
257	3	11	1	2b	6a	250
258	3	11	1	6b	10a	251
259	3	11	1	10b	13	252
260	3	11	1	14	17a	253
261	3	11	1	17b	21a	254
262	3	11	1	21b	21b	255
263	3	11	2	1	3a	256
264	3	11	2	3b	4	257
264	3	11	3	1a	1a	257
265	3	11	3	1b	1b	258
265	3	11	4	1	2	258
266	3	11	5	1	3a	259
267	3	11	5	3b	3b	260
267	3	11	6	1	3a	260
268	3	11	6	3b	4	261
268	3	11	7	1	2a	261
269	3	11	7	2b	4a	262
270	3	11	7	4b	4b	263
270	3	11	8	1	2	263
271	3	11	8	3	6a	264
272	3	11	8	6b	8	265
273	3	11	9	1	4a	266
274	3	11	9	4b	8a	267
275	3	11	9	8b	9	268
276	3	11	10	1	3a	269
277	3	11	10	3b	4	270
278	3	12	1	1	1	271
278	3	12	2	1	1	271
279	3	12	2	2	3a	272
280	3	12	2	3b	5a	273
281	3	12	2	5b	7a	274
282	3	12	2	7b	8a	275
283	3	12	2	8b	9	276
283	3	12	3	1	1	276
284	3	12	3	2	4a	277
285	3	12	3	4b	4b	278
285	3	12	4	1	2a	278
286	3	12	4	2b	4a	279
287	3	12	4	4b	6a	280
288	3	12	4	6b	7	281
289	3	12	5	1	3a	282
290	3	12	5	3b	7a	283
291	3	12	5	7b	10	284
292	3	12	5	11	12	285
293	3	12	6	1	5a	286
294	3	12	6	5b	6	287
294	3	12	7	1a	1a	287
295	3	12	7	1b	5a	288
296	3	12	7	5b	5b	289
296	3	12	8	1	3a	289
297	3	12	8	3b	3b	290
297	3	12	9	1	2a	290
298	3	12	9	2b	5a	291
299	3	12	9	5b	8a	292
300	3	12	9	8b	8b	293
