page	taranga	from v.	to v.	ipage	Remarks
124	7	495	522	115	I: Kalhana
125	7	523	552	116	I: Kalhana
126	7	553	582	117	I: Kalhana
127	7	583	612	118	I: Kalhana
128	7	613	641	119	I: Kalhana
129	7	642	670	120	I: Kalhana
130	7	671	699	121	I: Kalhana
131	7	700	727	122	I: Kalhana
132	7	728	756	123	I: Kalhana
133	7	757	786	124	I: Kalhana
134	7	787	812	125	I: Kalhana
135	7	813	841	126	I: Kalhana
136	7	842	870	127	I: Kalhana
137	7	871	900	128	I: Kalhana
138	7	901	929	129	I: Kalhana
139	7	930	959	130	I: Kalhana
140	7	960	988	131	I: Kalhana
141	7	990	1017	132	I: Kalhana
142	7	1018	1047	133	I: Kalhana
143	7	1048	1076	134	I: Kalhana
144	7	1077	1105	135	I: Kalhana
145	7	1106	1127a	136	I: Kalhana
146	7	1127b	1156	137	I: Kalhana
147	7	1157	1184	138	I: Kalhana
148	7	1185	1213	139	I: Kalhana
149	7	1214	1252	140	I: Kalhana
150	7	1253	1281	141	I: Kalhana
151	7	1282	1312	142	I: Kalhana
152	7	1313	1343	143	I: Kalhana
153	7	1344	1372	144	I: Kalhana
154	7	1373	1401	145	I: Kalhana
155	7	1402	1429	146	I: Kalhana
156	7	1430	1456	147	I: Kalhana
157	7	1457	1485	148	I: Kalhana
158	7	1486	1515	149	I: Kalhana
159	7	1516	1544	150	I: Kalhana
160	7	1545	1574	151	I: Kalhana
161	7	1575	1604	152	I: Kalhana
162	7	1605	1632	153	I: Kalhana
163	7	1633	1661	154	I: Kalhana
164	7	1662	1690	155	I: Kalhana
165	7	1691	1719	156	I: Kalhana
166	7	1720	1744	157	I: Kalhana
167	7	1745	9999	158	I: Kalhana  artificial added by Jim
168	8	1	19	159	I: Kalhana
169	8	20	49	160	I: Kalhana
170	8	50	79	161	I: Kalhana
171	8	80	109	162	I: Kalhana
172	8	110	138	163	I: Kalhana
173	8	139	167	164	I: Kalhana
174	8	168	197	165	I: Kalhana
175	8	198	227	166	I: Kalhana
176	8	228	257	167	I: Kalhana
177	8	258	287	168	I: Kalhana
178	8	288	316	169	I: Kalhana
179	8	317	344	170	I: Kalhana
180	8	345	371	171	I: Kalhana
181	8	372	401	172	I: Kalhana
182	8	402	431	173	I: Kalhana
183	8	432	461	174	I: Kalhana
184	8	462	491	175	I: Kalhana
185	8	492	521	176	I: Kalhana
186	8	522	550	177	I: Kalhana
187	8	551	580	178	I: Kalhana
188	8	581	609	179	I: Kalhana
189	8	610	639	180	I: Kalhana
190	8	645	673	181	I: Kalhana
191	8	674	700	182	I: Kalhana
192	8	701	730	183	I: Kalhana
193	8	731	760	184	I: Kalhana
194	8	756	785	185	I: Kalhana
195	8	786	814	186	I: Kalhana
196	8	815	843	187	I: Kalhana
197	8	844	873	188	I: Kalhana
198	8	874	903	189	I: Kalhana
199	8	904	933	190	I: Kalhana
200	8	934	963	191	I: Kalhana
201	8	964	993	192	I: Kalhana
202	8	994	1023	193	I: Kalhana
203	8	1024	1052	194	I: Kalhana
204	8	1053	1082	195	I: Kalhana
205	8	1083	1112	196	I: Kalhana
206	8	1113	1142	197	I: Kalhana
207	8	1143	1172	198	I: Kalhana
208	8	1173	1202	199	I: Kalhana
209	8	1203	1231	200	I: Kalhana
210	8	1232	1261	201	I: Kalhana
211	8	1262	1290	202	I: Kalhana
212	8	1291	1319	203	I: Kalhana
213	8	1320	1349	204	I: Kalhana
214	8	1350	1379	205	I: Kalhana
215	8	1380	1408	206	I: Kalhana
216	8	1409	1438	207	I: Kalhana
217	8	1439	1468	208	I: Kalhana
218	8	1469	1497a	209	I: Kalhana
219	8	1497b	1526	210	I: Kalhana
220	8	1527	1555	211	I: Kalhana
221	8	1556	1583	212	I: Kalhana
222	8	1584	1611	213	I: Kalhana
223	8	1612	1637	214	I: Kalhana
224	8	1638	1666	215	I: Kalhana
225	8	1667	1696	216	I: Kalhana
226	8	1697	1726	217	I: Kalhana
227	8	1727	1756	218	I: Kalhana
228	8	1757	1786	219	I: Kalhana
229	8	1787	1814	220	I: Kalhana
230	8	1815	1844	221	I: Kalhana
231	8	1845	1874	222	I: Kalhana
232	8	1875	1904	223	I: Kalhana
233	8	1905	1933	224	I: Kalhana
234	8	1934	1963	225	I: Kalhana
235	8	1963	1992	226	I: Kalhana
236	8	1993	2021	227	I: Kalhana
237	8	2022	2047	228	I: Kalhana
238	8	2048	2077	229	I: Kalhana
239	8	2078	2106	230	I: Kalhana
240	8	2107	2135	231	I: Kalhana
241	8	2136	2165	232	I: Kalhana
242	8	2166	2194	233	I: Kalhana
243	8	2195	2224	234	I: Kalhana
244	8	2225	2254	235	I: Kalhana
245	8	2255	2283	236	I: Kalhana
246	8	2284	2313	237	I: Kalhana
247	8	2314	2343	238	I: Kalhana
248	8	2344	2371	239	I: Kalhana
249	8	2372	2400	240	I: Kalhana
250	8	2401	2429	241	I: Kalhana
251	8	2430	2459	242	I: Kalhana
252	8	2460	2488	243	I: Kalhana
253	8	2489	2617	244	I: Kalhana
254	8	2618	2645	245	I: Kalhana
255	8	2646	2672	246	I: Kalhana
256	8	2673	2702	247	I: Kalhana
257	8	2703	2726	248	I: Kalhana
258	8	2727	2755	249	I: Kalhana
259	8	2756	2784	250	I: Kalhana
260	8	2785	2814	251	I: Kalhana
261	8	2815	2844	252	I: Kalhana
262	8	2845	2874	253	I: Kalhana
263	8	2875	2904	254	I: Kalhana
264	8	2905	2933	255	I: Kalhana
265	8	2934	2962	256	I: Kalhana
266	8	2963	2991	257	I: Kalhana
267	8	2992	3021	258	I: Kalhana
268	8	3022	3050	259	I: Kalhana
269	8	3051	3079	260	I: Kalhana
270	8	3080	3108	261	I: Kalhana
271	8	3109	3134	262	I: Kalhana
272	8	3135	3161	263	I: Kalhana
273	8	3162	3191	264	I: Kalhana
274	8	3192	3221	265	I: Kalhana
275	8	3222	3249	266	I: Kalhana
276	8	3250	3279	267	I: Kalhana
277	8	3280	3307	268	I: Kalhana
278	8	3308	3337	269	I: Kalhana
279	8	3338	3367	270	I: Kalhana
280	8	3368	3397	271	I: Kalhana
281	8	3398	3426	272	I: Kalhana
282	8	3427	3455	273	I: Kalhana
283	8	3456	3480	274	I: Kalhana
284	8	3481	3507	275	I: Kalhana
285	8	3508	3537	276	I: Kalhana
286	8	3538	3551	277	I: Kalhana
