vol.	page	kāṇḍa	sarga	from v.	to v.	ipage	remark(s)			
I	---	---	---	---	---	1a	page missing	1	a	1a
I	187	1	53	15	25	92b		92	b	92b
I	188	1	53	26	26	93a		93	a	93a
I	188	1	54	1	10	93a				93a
I	189	1	54	11	24	93b	scan page is from 2nd kanda (ayodhya) and should be replaced	93	b	93b
I	190	1	55	1	9	94a	scan page is from 2nd kanda (ayodhya) and should be replaced	94	a	94a
I	191	1	55	10	22	94b		94	b	94b
I	192	1	55	23	28	95a		95	a	95a
I	192	1	56	1	5	95a				95a
I	193	1	56	6	19	95b		95	b	95b
I	194	1	56	20	24	96a		96	a	96a
I	194	1	57	1	6	96a				96a
I	195	1	57	7	16	96b		96	b	96b
I	196	1	57	17	22	97a		97	a	97a
I	196	1	58	1	6	97a				97a
I	197	1	58	7	18	97b		97	b	97b
I	198	1	58	19	24	96a	page numbered from 96 again	96	a	96a
I	198	1	59	1	5	96a				96a
I	199	1	59	6	17	96b		96	b	96b
I	200	1	59	18	22	97a		97	a	97a
I	200	1	60	1	5	97a				97a
I	201	1	60	6	16	97b		97	b	97b
I	202	1	60	17	28	98a		98	a	98a
I	203	1	60	29	34	98b		98	b	98b
I	203	1	61	1	3	98b				98b
I	204	1	61	4	17	99a		99	a	99a
I	205	1	61	18	24	99b		99	b	99b
I	205	1	62	1	4	99b				99b
I	206	1	62	5	15	100a		100	a	100a
I	207	1	62	16	26	100b		100	b	100b
I	208	1	62	27	28	101a		101	a	101a
I	208	1	63	1	9	101a				101a
I	209	1	63	10	21	101b		101	b	101b
I	210	1	63	22	26	102a		102	a	102a
I	210	1	64	1	9	102a				102a
I	211	1	64	10	19	102b		102	b	102b
I	212	1	64	20	20	103a		103	a	103a
I	212	1	65	1	9	103a				103a
I	213	1	65	10	20	103b		103	b	103b
I	214	1	65	21	28	104a		104	a	104a
I	215	1	65	29	40	104b		104	b	104b
I	215	1	66	1	1	104b				104b
I	216	1	66	2	11	105a		105	a	105a
I	217	1	66	12	20	105b		105	b	105b
I	218	1	66	21	27	106a		106	a	106a
I	218	1	67	1	4	106a				106a
I	219	1	67	5	15	106b		106	b	106b
I	220	1	67	16	27	107a		107	a	107a
I	221	1	68	1	10	107b		107	b	107b
I	222	1	68	11	19	108a		108	a	108a
I	222	1	69	1	3	108a				108a
I	223	1	69	4	16	108b		108	b	108b
I	224	1	69	17	18	109a		109	a	109a
I	224	1	70	1	8	109a				109a
I	225	1	70	9	21	109b		109	b	109b
I	226	1	70	22	35	110a		110	a	110a
I	227	1	70	36	45	110b		110	b	110b
I	227	1	71	1	1	110b				110b
