vol.	page	kanda	sarga	from v.	to v.	ipage	remark(s)
II	368	4	31	16	27	62b	
II	369	4	31	28	37	63a	
II	370	4	31	38	47	63b	
II	371	4	31	48	51	64a	
II	371	4	32	1	6	64a	
II	372	4	32	7	17	64b	
II	373	4	32	18	22	65a	
II	373	4	33	1	5	65a	
II	374	4	33	6	21	65b	
II	375	4	33	22	32	66a	
II	376	4	33	33	42	66b	
II	377	4	33	43	51	67a	
II	378	4	33	52	57	67b	
II	379	4	33	58	66	68a	
II	379	4	34	1	2	68a	
II	380	4	34	3	11	68b	
II	381	4	34	12	19	69a	
II	381	4	35	1	2	69a	
II	382	4	35	3	15	69b	
II	383	4	35	16	22	70a	
II	384	4	35	23	23	70b	
II	384	4	36	1	10	70b	
II	385	4	36	11	20	71a	
II	385	4	37	1	1	71a	
II	386	4	37	2	13	71b	
II	387	4	37	14	27	72a	
II	388	4	37	28	37	72b	
II	388	4	38	1	4	72b	
II	389	4	38	5	17	73a	
II	390	4	38	18	30	73b	
II	391	4	38	31	34	74a	
II	391	4	39	1	6	74a	
II	392	4	39	7	22	74b	
II	393	4	39	23	39	75a	
II	394	4	39	40	44	75b	
II	394	4	40	1	5	75b	
II	395	4	40	6	18	76a	
II	396	4	40	19	27	76b	
II	397	4	40	28	37	77a	
II	398	4	40	38	46	77b	
II	399	4	40	47	56	78a	
II	400	4	40	57	64	78b	
II	401	4	40	65	71	79a	
II	401	4	41	1	5	79a	
II	402	4	41	6	17	79b	
II	403	4	41	18	26	80a	
II	404	4	41	27	37	80b	
II	405	4	41	38	49	81a	
II	406	4	42	1	11	81b	
II	407	4	42	12	24	82a	
II	408	4	42	25	38	82b	
II	409	4	42	39	50	83a	
II	410	4	42	51	57	83b	
II	410	4	43	1	4	83b	
II	411	4	43	5	18	84a	
II	412	4	43	19	32	84b	
II	413	4	43	33	41	85a	
II	414	4	43	42	54	85b	
II	415	4	43	55	62	86a	
II	416	4	44	1	10	86b	
II	417	4	44	11	17	87a	
II	417	4	45	1	4	87a	
II	418	4	45	5	17	87b	
II	418	4	46	1	2	87b	
II	419	4	46	3	13	88a	
II	420	4	46	14	24	88b	
II	421	4	47	1	12	89a	
II	422	4	47	13	14	89b	
II	422	4	48	1	10	89b	
II	423	4	48	11	22	90a	
II	424	4	48	23	23	90b	
II	424	4	49	1	11	90b	
II	425	4	49	12	22	91a	
II	425	4	50	1	3	91a	
II	426	4	50	4	17	91b	
II	427	4	50	18	27	92a	
II	428	4	50	28	41	92b	
II	429	4	51	1	13	93a	
II	430	4	51	14	19	93b	
II	430	4	52	1	4	93b	
II	431	4	52	5	16	94a	
II	432	4	52	17	28	94b	
II	433	4	52	29	32	95a	
II	433	4	53	1	6	95a	
II	434	4	53	7	11	95b	
II	435	4	53	12	22	96a	
II	436	4	53	23	27	96b	
II	436	4	54	1	4	96b	
II	437	4	54	5	12	97a	
II	438	4	54	13	20	97b	
II	439	4	54	21	22	98a	
II	439	4	55	1	5	98a	
II	440	4	55	6	14	98b	
II	441	4	55	15	23	99a	
II	441	4	56	1	4	99a	
II	442	4	56	5	13	99b	
II	443	4	56	14	23	100a	
II	444	4	56	24	25	100b	
II	444	4	57	1	10	100b	
II	445	4	57	11	19	101a	
II	445	4	58	1	3	101a	
II	446	4	58	4	13	101b	
II	447	4	58	14	24	102a	
II	448	4	58	25	35	102b	
II	449	4	59	1	9	103a	
II	450	4	59	10	19	103b	
II	451	4	59	20	28	104a	
II	451	4	60	1	1	104a	
II	452	4	60	2	13	104b	
II	453	4	60	14	21	105a	
II	453	4	61	1	2	105a	
II	454	4	61	3	13	105b	
II	455	4	61	14	17	106a	
II	455	4	62	1	7	106a	
II	456	4	62	8	14	106b	
II	457	4	62	15	15	107a	
II	457	4	63	1	8	107a	
II	458	4	63	9	15	107b	
II	458	4	64	1	4	107b	
II	459	4	64	5	19	108a	
II	460	4	64	20	22	108b	
II	460	4	65	1	11	108b	
II	461	4	65	12	24	109a	
II	462	4	65	25	35	109b	
II	463	4	66	1	11	110a	
II	464	4	66	12	21	110b	
II	465	4	66	22	35	111a	
II	466	4	66	36	38	111b	
II	466	4	67	1	5	111b	
II	467	4	67	6	17	112a	
II	468	4	67	18	27	112b	
II	469	4	67	28	40	113a	
II	470	4	67	41	49	113b	
II	471	---	---	---	---	---	
II	472	---	---	---	---	---	
II	473	---	---	---	---	---	
II	474	---	---	---	---	---	illustration
II	475	5	1	1	8	1a	
II	476	5	1	9	18	1b	
II	477	5	1	19	30	2a	
II	478	5	1	29	39	2b	verses numbered from 29 again
II	479	5	1	40	50	3a	
II	480	5	1	51	61	3b	
II	481	5	1	62	70	4a	
II	482	5	1	71	81	4b	
II	483	5	1	82	92	5a	
II	484	5	1	93	102	5b	
II	485	5	1	103	112	6a	
II	486	5	1	113	125	6b	
II	487	5	1	126	137	7a	
II	488	5	1	138	150	7b	
II	489	5	1	151	158	8a	
II	490	5	1	159	169	8b	
II	491	5	1	170	182	9a	
II	492	5	1	183	191	9b	
II	493	5	1	192	199	10a	
II	494	5	1	200	203	10b	
II	494	5	2	1	3	10b	
II	495	5	2	4	14	11a	
II	496	5	2	15	23	11b	
II	497	5	2	24	32	12a	
II	498	5	2	53	55	12b	v. 33-52 missing
II	498	5	3	1	2	12b	
II	499	5	3	3	11	13a	
II	500	5	3	33	42	13b	missed verses (?)
II	501	5	3	43	52	14a	missed verses (?)
II	502	5	3	35	46	14b	v. 12-34 missing
II	503	5	3	47	51	15a	
II	503	5	4	1	3	15a	
II	504	5	4	12	21	15b	missed verses (?)
II	505	5	4	22	34	16a	missed verses (?)
II	506	5	4	4	14	16b	see numbering on p. 503
II	507	5	4	15	23	17a	
II	508	5	4	24	30	17b	
II	508	5	5	1	2	17b	
II	509	5	5	1	7	18a	verses numbered from 1 again
II	510	5	5	8	13	18b	
II	511	5	5	14	20	19a	
II	512	5	5	21	26	19b	
II	513	5	5	27	27	20a	
II	513	5	6	1	8	20a	
II	514	5	6	9	22	20b	
II	515	5	6	23	36	21a	
II	516	5	6	37	44	21b	
II	516	5	7	1	1	21b	
II	517	5	7	2	8	22a	
II	518	5	7	9	15	22b	
II	519	5	7	16	17	23a	
II	519	5	8	1	3	23a	
II	520	5	8	4	8	23b	
II	521	5	9	1	13	24a	
II	522	5	9	14	22	24b	
II	523	5	9	23	32	25a	
II	524	5	9	33	43	25b	
II	525	5	9	44	51	26a	
II	526	5	9	52	58	26b	
II	527	5	9	59	67	27a	
II	528	5	9	68	73	27b	
II	529	5	9	74	74	28a	
II	529	5	10	1	5	28a	
II	530	5	10	6	16	28b	
II	531	5	10	17	28	29a	
II	532	5	10	29	39	29b	
II	533	5	10	40	51	30a	
II	534	5	10	52	54	30b	
II	534	5	11	1	5	30b	
II	535	5	11	6	15	31a	
II	536	5	11	16	23	31b	
II	537	5	11	24	33	32a	
II	538	5	11	34	42	32b	
II	539	5	11	43	49	33a	
II	539	5	12	1	1	33a	
II	540	5	12	2	9	33b	
II	541	5	12	10	21	34a	
II	542	5	12	22	25	34b	
II	542	5	13	1	6	34b	
II	543	5	13	7	14	35a	
II	544	5	13	15	24	35b	
II	545	5	13	25	38	36a	
II	546	5	13	39	46	36b	
II	547	5	13	47	55	37a	
II	548	5	13	56	65	37b	
II	549	5	13	66	68	38a	
II	549	5	14	1	7	38a	
II	550	5	14	8	18	38b	
II	551	5	14	19	30	39a	
II	552	5	14	31	41	39b	
II	553	5	14	42	51	40a	
II	554	5	14	52	52	40b	
II	554	5	15	1	8	40b	
II	555	5	15	9	20	41a	
II	556	5	15	21	30	41b	
II	557	5	15	31	40	42a	
II	558	5	15	41	46	42b	
II	559	5	15	47	53	43a	
II	560	5	15	54	54	43b	
II	560	5	16	1	4	43b	
II	561	5	16	5	15	44a	
II	562	5	16	16	26	44b	
II	563	5	16	27	32	45a	
II	563	5	17	1	1	45a	
II	564	5	17	2	12	45b	
II	565	5	17	13	23	46a	
II	566	5	17	24	32	46b	
II	566	5	18	1	1	46b	
II	567	5	18	2	10	47a	
II	568	5	18	11	21	47b	
II	569	5	18	22	31	48a	
II	570	5	18	32	32	48b	
II	570	5	19	1	9	48b	
II	571	5	19	10	20	49a	
II	572	5	19	21	22	49b	
II	572	5	20	1	5	49b	
II	573	5	20	6	15	50a	
II	574	5	20	16	27	50b	
II	575	5	20	28	36	51a	
II	575	5	21	1	2	51a	
II	576	5	21	3	9	51b	
II	577	5	21	10	17	52a	
II	578	5	21	18	27	52b	
II	579	5	21	28	34	53a	
II	579	5	22	1	1	53a	
II	580	5	22	2	10	53b	
II	581	5	22	11	20	54a	
II	582	5	22	21	31	54b	
II	583	5	22	32	43	55a	
II	584	5	22	44	46	55b	
II	584	5	23	1	9	55b	
II	585	5	23	10	19	56a	
II	585	5	24	1	2	56a	
II	586	5	24	3	14	56b	
II	587	5	24	15	27	57a	
II	588	5	24	28	40	57b	
II	589	5	24	41	45	58a	
II	589	5	25	1	5	58a	
II	590	5	25	6	19	58b	
II	591	5	25	20	20	59a	
II	591	5	26	1	8	59a	
II	592	5	26	9	16	59b	
II	593	5	26	17	28	60a	
II	594	5	26	29	37	60b	
II	595	5	26	38	44	61a	
II	596	5	26	45	47	61b	
II	596	5	27	1	4	61b	
II	597	5	27	5	14	62a	
II	598	5	27	15	27	62b	
II	599	5	27	28	39	63a	
II	600	5	27	40	48	63b	
II	601	5	28	1	6	64a	
II	602	5	28	7	13	64b	
II	603	5	28	14	19	65a	
II	603	5	29	1	2	65a	
II	604	5	29	3	8	65b	
II	604	5	30	1	4	65b	
II	605	5	30	5	15	66a	
II	606	5	30	16	26	66b	
II	607	5	30	27	39	67a	
II	608	5	30	40	44	67b	
II	608	5	31	1	6	67b	
II	609	5	31	6	17	68a	verse numbered 6 again
II	610	5	32	1	9	68b	
II	611	5	32	10	14	69a	
II	612	5	33	1	9	69b	
II	613	5	33	10	21	70a	
II	614	5	33	22	31	70b	
II	614	5	34	1	2	70b	
II	615	5	34	3	10	71a	
II	616	5	34	11	21	71b	
II	617	5	34	21	29	72a	verse numbered 21 again
II	618	5	34	30	39	72b	
II	618	5	35	1	4	72b	
II	619	5	35	5	14	73a	
II	620	5	35	15	18	73b	
II	621	5	35	19	21	74a	
II	622	5	35	22	34	74b	
II	623	5	35	35	47	75a	
II	624	5	35	48	63	75b	
II	625	5	35	64	78	76a	
II	626	5	35	79	89	76b	
II	627	5	36	1	12	77a	
II	628	5	36	13	20	77b	
II	629	5	36	21	30	78a	
II	630	5	36	31	40	78b	
II	631	5	36	41	47	79a	
II	631	5	37	1	3	79a	
II	632	5	37	4	15	79b	
II	633	5	37	16	27	80a	
II	634	5	37	28	41	80b	
II	635	5	37	42	53	81a	
II	636	5	37	54	63	81b	
II	637	5	37	64	68	82a	
II	637	5	38	1	3	82a	
II	638	5	38	4	13	82b	
II	639	5	38	14	22	83a	
II	640	5	38	23	33	83b	
II	641	5	38	34	43	84a	
II	642	5	38	44	56	84b	
II	643	5	38	57	65	85a	
II	644	5	38	66	70	85b	
II	644	5	39	1	1	85b	
II	645	5	39	2	14	84a	i. page numbered from 84 again
II	646	5	39	15	25	84b	
II	647	5	39	26	36	85a	
II	648	5	39	37	49	85b	
II	649	5	39	50	54	86a	
II	649	5	40	1	5	86a	
II	650	5	40	6	16	86b	
II	651	5	40	17	25	87a	
II	651	5	41	1	1	87a	
II	652	5	41	2	6	87b	
II	653	5	41	7	13	88a	
II	654	5	41	14	21	88b	
II	654	5	42	1	2	88b	
II	655	5	42	3	13	89a	
II	656	5	42	14	25	89b	
II	657	5	42	26	38	90a	
II	658	5	42	39	44	90b	
II	658	5	43	1	6	90b	
II	659	5	43	7	21	91a	
II	660	5	43	22	25	91b	
II	660	5	44	1	9	91b	
II	661	5	44	10	20	92a	
II	661	5	45	1	2	92a	
II	662	5	45	3	15	92b	
II	663	5	45	16	17	93a	
II	663	5	46	1	10	93a	
II	664	5	46	11	23	93b	
II	665	5	46	24	38	94a	
II	666	5	46	39	41	94b	
II	666	5	47	1	5	94b	
II	667	5	47	6	14	95a	
II	668	5	47	15	23	95b	
II	669	5	47	24	31	96a	
II	670	5	47	32	38	96b	
II	670	5	48	1	2	96b	
II	671	5	48	3	9	97a	
II	672	5	48	10	12	97b	
II	673	5	48	13	21	98a	
II	674	5	48	22	33	98b	
II	675	5	48	34	41	99a	
II	676	5	48	42	49	99b	
II	677	5	48	50	60	100a	
II	678	5	48	61	61	100b	
II	678	5	49	1	11	100b	
II	679	5	49	12	20	101a	
II	679	5	50	1	2	101a	
II	680	5	50	3	13	101b	
II	681	5	50	14	19	102a	
II	682	5	51	1	15	102b	
II	683	5	51	16	22	103a	
II	684	5	51	23	27	103b	
II	685	5	51	28	32	104a	
II	686	5	51	33	43	104b	
II	687	5	51	44	45	105a	
II	687	5	52	1	8	105a	
II	688	5	52	9	18	105b	
II	689	5	52	19	25	106a	
II	690	5	53	1	10	106b	
II	691	5	53	11	15	107a	
II	692	5	53	16	26	107b	
II	693	5	53	27	35	108a	
II	694	5	53	36	40	108b	
II	694	5	54	1	5	108b	
II	695	5	54	6	20	109a	
II	696	5	54	21	32	109b	
II	697	5	54	33	42	110a	
II	698	5	54	43	50	110b	
II	698	5	55	1	3	110b	
II	699	5	55	4	13	111a	
