Vol	page	kaṇḍa	prapāṭhaka	anuvāka	vers from	vers to	int page	
II	76	V	4	10	1	4a	69	
II	77	V	4	10	4b	5	70	
II	77	V	4	11	1a	1a	70	
II	78	V	4	11	1b	4	71	
II	79	V	4	12	1	3a	72	
II	80	V	4	12	3b	3b	73	
II	80	V	5	1	1	2a	73	
II	81	V	5	1	2b	6a	74	
II	82	V	5	1	6b	7	75	
II	82	V	5	2	1	2a	75	
II	83	V	5	2	2b	6a	76	
II	84	V	5	2	6b	7	77	
II	84	V	5	3	1	2a	77	
II	85	V	5	3	2b	3	78	
II	85	V	5	4	1	2a	78	
II	86	V	5	4	2b	4	79	
II	87	V	5	5	1	4a	80	
II	88	V	5	5	4b	4b	81	
II	88	V	5	6	1	3a	81	
II	89	V	5	6	3b	3b	82	
II	89	V	5	7	1	3a	82	
II	90	V	5	7	3b	5	83	
II	90	V	5	8	1a	1a	83	
II	91	V	5	8	1b	3	84	
II	92	V	5	9	1	5a	85	
II	93	V	5	9	5b	5b	86	
II	93	V	5	10	1	3a	86	
II	94	V	5	10	3b	7	87	
II	95	V	5	11	1	1	88	
II	95	V	5	12	1a	1a	88	
II	96	V	5	12	1b	1b	89	
II	96	V	5	13	1	1	89	
II	96	V	5	14	1	1	89	
II	97	V	5	15	1	1	90	
II	97	V	5	16	1	1	90	
II	97	V	5	17	1a	1a	90	
II	98	V	5	17	1b	1b	91	
II	98	V	5	18	1	1	91	
II	98	V	5	19	1	1	91	
II	98	V	5	20	1	1	91	
II	99	V	5	21	1	1	92	
II	99	V	5	22	1	1	92	
II	99	V	5	23	1	1	92	
II	99	V	5	24	1a	1a	92	
II	100	V	5	24	1b	1b	93	
II	100	V	6	1	1	2a	93	
II	101	V	6	1	2b	4	94	
II	102	V	6	2	1	5a	95	
II	103	V	6	2	5b	6	96	
II	103	V	6	3	1	2a	96	
II	104	V	6	3	2b	4	97	
II	104	V	6	4	1a	1a	97	
II	105	V	6	4	1b	5	98	
II	106	V	6	5	1	3a	99	
II	107	V	6	5	3b	3b	100	
II	107	V	6	6	1	4a	100	
II	108	V	6	6	4b	4b	101	
II	108	V	6	7	1	2a	101	
II	109	V	6	7	2b	3	102	
II	109	V	6	8	1	2a	102	
II	110	V	6	8	2b	6a	103	
II	111	V	6	8	6b	6b	104	
II	111	V	6	9	1	2a	104	
II	112	V	6	9	2b	3	105	
II	112	V	6	10	1	2a	105	
II	113	V	6	10	2b	3	106	
II	113	V	6	11	1a	1a	106	
II	114	V	6	11	1b	1b	107	
II	114	V	6	12	1	1	107	
II	114	V	6	13	1	1	107	
II	114	V	6	14	1a	1a	107	
II	115	V	6	14	1b	1b	108	
II	115	V	6	15	1	1	108	
II	115	V	6	16	1	1	108	
II	115	V	6	17	1a	1a	108	
II	116	V	6	17	1b	1b	109	
II	116	V	6	18	1	1	109	
II	116	V	6	19	1	1	109	
II	116	V	6	20	1	1	109	
II	116	V	6	21	1a	1a	109	
II	117	V	6	21	1b	1b	110	
II	117	V	6	22	1	1	110	
II	117	V	6	23	1a	1a	110	
II	118	V	6	23	1b	1b	111	
II	118	V	7	1	1	2a	111	
II	119	V	7	1	2b	3	112	
II	119	V	7	2	1	2a	112	
II	120	V	7	2	2b	5a	113	
II	121	V	7	2	5b	5b	114	
II	121	V	7	3	1	3a	114	
II	122	V	7	3	3b	4	115	
II	122	V	7	4	1	2a	115	
II	123	V	7	4	2b	4	116	
II	123	V	7	5	1a	1a	116	
II	124	V	7	5	1b	6a	117	
II	125	V	7	5	6b	7	118	
II	125	V	7	6	1a	1a	118	
II	126	V	7	6	1b	6a	119	
II	127	V	7	6	6b	6b	120	
II	127	V	7	7	1	2a	120	
II	128	V	7	7	2b	3	121	
II	128	V	7	8	1a	1a	121	
II	129	V	7	8	1b	3	122	
II	129	V	7	9	1a	1a	122	
II	130	V	7	9	1b	4	123	
II	131	V	7	10	1	3	124	
II	132	V	7	11	1	1	125	
II	132	V	7	12	1	1	125	
II	133	V	7	13	1	1	126	
II	133	V	7	14	1	1	126	
II	133	V	7	15	1a	1a	126	
II	134	V	7	15	1b	1b	127	
II	134	V	7	16	1	1	127	
II	134	V	7	17	1	1	127	
II	135	V	7	18	1	1	128	
II	135	V	7	19	1	1	128	
II	135	V	7	20	1	1	128	
II	135	V	7	21	1a	1a	128	
II	136	V	7	21	1b	5	129	21 anuvāka only one shola, But number 5 посмотреть сноску
II	136	V	7	22	1	1	129	
II	136	V	7	23	1	1	129	
II	136	V	7	24	1a	1a	129	
II	137	V	7	24	1b	1b	130	
II	137	V	7	25	1	1	130	
II	137	V	7	26	1	1	130	
II	138	VI	1	1	1	3a	131	
II	139	VI	1	1	3b	7a	132	
II	140	VI	1	1	7b	9	133	
II	141	VI	1	2	1	4a	134	
II	142	VI	1	2	4b	7	135	
II	143	VI	1	3	1	3a	136	
II	144	VI	1	3	3b	7a	137	
II	145	VI	1	3	7b	8	138	
II	145	VI	1	4	1a	1a	138	
II	146	VI	1	4	1b	5	139	
II	147	VI	1	4	6	9	140	skipped number 8, After 7 -> 9
II	148	VI	1	5	1	4a	141	
II	149	VI	1	5	4b	5	142	
II	149	VI	1	6	1	2a	142	
II	150	VI	1	6	2b	6a	143	
II	151	VI	1	6	6b	7	144	
II	151	VI	1	7	1a	1a	144	
II	152	VI	1	7	1b	5a	145	
II	153	VI	1	7	5b	8	146	
II	154	VI	1	8	1	4a	147	
II	155	VI	1	8	4b	5	148	
II	155	VI	1	9	1a	1a	148	
II	156	VI	1	9	1b	5a	149	
II	157	VI	1	9	5b	7	150	
II	157	VI	1	10	1a	1a	150	
II	158	VI	1	10	1b	5a	151	
II	159	VI	1	10	5b	5b	152	
II	159	VI	1	11	1	3a	152	
II	160	VI	1	11	3b	6	153	
II	161	VI	2	1	1	2a	154	
II	162	VI	2	1	2b	6a	155	
II	163	VI	2	1	6b	7	156	
II	163	VI	2	2	1a	1a	156	
II	164	VI	2	2	1b	6a	157	
II	165	VI	2	2	6b	7	158	
II	165	VI	2	3	1a	1a	158	
II	166	VI	2	3	1b	5a	159	
II	167	VI	2	3	5b	5b	160	
II	167	VI	2	4	1	2a	160	
II	168	VI	2	4	2b	5	161	
II	169	VI	2	5	1	4a	162	
II	170	VI	2	5	4b	5	163	
II	170	VI	2	6	1a	1a	163	
II	171	VI	2	6	1b	4	164	
II	172	VI	2	7	1	4a	165	
II	172	VI	2	7	4b	5	165	
II	173	VI	2	8	1	2a	166	
II	174	VI	2	8	2b	6a	167	
II	175	VI	2	8	6b	6b	168	
II	175	VI	2	9	1	3a	168	
II	176	VI	2	9	3b	4	169	
II	177	VI	2	10	1	4a	170	
II	178	VI	2	10	4b	7a	171	
II	179	VI	2	10	7b	7b	172	
II	179	VI	2	11	1	3a	172	
II	180	VI	2	11	3b	4	173	
II	181	VI	3	1	1	4a	174	
II	182	VI	3	1	4b	6	175	
II	183	VI	3	2	1	3	176	
II	184	VI	3	2	4	6	177	
II	185	VI	3	3	1	4a	178	
II	186	VI	3	3	4b	6	179	
II	187	VI	3	4	1	4a	180	
II	188	VI	3	4	4b	8a	181	
II	189	VI	3	4	8b	9	182	
II	189	VI	3	5	1a	1a	182	
II	190	VI	3	5	1b	4	183	
II	191	VI	3	6	1	4a	184	
II	192	VI	3	6	4b	4b	185	
II	192	VI	3	7	1	3a	185	
II	193	VI	3	7	3b	5	186	
II	194	VI	3	8	1	4	187	
II	195	VI	3	9	1	4a	188	
II	196	VI	3	9	4b	6	189	
II	197	VI	3	10	1	4a	190	
II	198	VI	3	10	4b	6	191	
II	198	VI	3	11	1a	1a	191	
II	199	VI	3	11	1b	5a	192	
II	200	VI	3	11	5b	6	193	
II	201	VI	4	1	1	4a	194	
II	202	VI	4	1	4b	5	195	
II	202	VI	4	2	1	3a	195	
II	203	VI	4	2	3b	6a	196	
II	204	VI	4	2	6b	6b	197	
II	204	VI	4	3	1	2a	197	
II	205	VI	4	3	2b	4	198	
II	205	VI	4	4	1a	1a	198	
II	206	VI	4	4	1b	4	199	
II	207	VI	4	5	1	4a	200	
II	208	VI	4	5	4b	7	201	
II	209	VI	4	6	1	3	202	
II	210	VI	4	6	4	4	203	
II	210	VI	4	7	1	3a	203	
II	211	VI	4	7	3b	3b	204	
II	211	VI	4	8	1	2a	204	
II	212	VI	4	8	2b	3	205	
II	212	VI	4	9	1	2a	205	
II	213	VI	4	9	2b	5	206	
II	214	VI	4	10	1	3a	207	
II	215	VI	4	10	3b	6	208	
II	216	VI	4	11	1	4a	209	
II	217	VI	4	11	4b	4b	210	
II	217	VI	5	1	1a	1a	210	
II	218	VI	5	1	1b	5	211	
II	219	VI	5	2	1	2	212	
II	220	VI	5	3	1	4a	213	
II	221	VI	5	3	4b	4b	214	
II	221	VI	5	4	1	2	214	
II	221	VI	5	5	1a	1a	214	
II	222	VI	5	5	1b	3	215	
II	223	VI	5	6	1	4a	216	
II	224	VI	5	6	4b	5	217	
II	224	VI	5	7	1a	1a	217	
II	225	VI	5	7	1b	3	218	
II	225	VI	5	8	1a	1a	218	
II	226	VI	5	8	1b	4	219	
II	227	VI	5	8	5	6	220	
II	228	VI	5	9	1	4a	221	
II	229	VI	5	9	4b	4b	222	
II	229	VI	5	10	1	3a	222	
II	230	VI	5	10	3b	3b	223	
II	230	VI	5	11	1	2a	223	
II	231	VI	5	11	2b	4	224	
II	232	VI	6	1	1	5a	225	
II	233	VI	6	1	5b	5b	226	
II	233	VI	6	2	1	2a	226	
II	234	VI	6	2	2b	3	227	
II	234	VI	6	3	1	2a	227	
II	235	VI	6	3	2b	5	228	
II	236	VI	6	4	1	3a	229	
II	237	VI	6	4	3b	6	230	
II	238	VI	6	5	1	4a	231	
II	239	VI	6	5	4b	4b	232	
II	239	VI	6	6	1	2	232	
II	239	VI	6	7	1a	1a	232	
II	240	VI	6	7	1b	4a	233	
II	241	VI	6	7	4b	4b	234	
II	241	VI	6	8	1	2a	234	
II	242	VI	6	8	2b	4	235	
II	242	VI	6	9	1a	1a	235	
II	243	VI	6	9	1b	2	236	
II	243	VI	6	10	1a	1a	236	
II	244	VI	6	10	1b	2	237	
II	244	VI	6	11	1a	1a	237	
II	245	VI	6	11	1b	5a	238	
II	246	VI	6	11	5b	6	239	
II	247	VII	1	1	1	3a	240	
II	248	VII	1	1	3b	6a	241	
II	249	VII	1	1	6b	6b	242	
II	249	VII	1	2	1	1	242	
II	249	VII	1	3	1a	1a	242	
II	250	VII	1	3	1b	3	243	
II	250	VII	1	4	1a	1a	243	
II	251	VII	1	4	1b	3	244	
II	252	VII	1	5	1	4a	245	
II	253	VII	1	5	4b	7	246	
II	254	VII	1	6	1	3a	247	
II	255	VII	1	6	3b	7a	248	
II	256	VII	1	6	7b	8	249	
II	256	VII	1	7	1	2a	249	
II	257	VII	1	7	2b	4	250	
II	257	VII	1	8	1a	1a	250	
II	258	VII	1	8	1b	3	251	Skipped number 2 shloka
II	258	VII	1	9	1a	1a	251	
II	259	VII	1	9	1b	1b	252	
II	259	VII	1	10	1	4a	252	
II	260	VII	1	10	4b	4b	253	
II	260	VII	1	11	1a	1a	253	
II	261	VII	1	11	1b	1b	254	
II	261	VII	1	12	1	1	254	
II	261	VII	1	13	1a	1a	254	
II	262	VII	1	13	1b	1b	255	
II	262	VII	1	14	1	1	255	
II	262	VII	1	15	1	1	255	
II	263	VII	1	16	1	1	256	
II	263	VII	1	17	1	1	256	
II	263	VII	1	18	1a	1a	256	
II	264	VII	1	18	1b	2	257	
II	264	VII	1	19	1	2a	257	
II	265	VII	1	19	2b	3	258	
II	265	VII	1	20	1a	1a	258	
II	266	VII	1	20	1b	1b	259	
II	266	VII	2	1	1	1	259	
II	267	VII	2	1	2	4a	260	
II	268	VII	2	1	4b	4b	261	
II	268	VII	2	2	1	2a	261	
II	269	VII	2	2	2b	3	262	
II	269	VII	2	3	1	2a	262	
II	269	VII	2	3	2b	2b	262	
II	270	VII	2	4	1	3	263	
II	271	VII	2	5	1	3a	264	
II	272	VII	2	5	3b	6a	265	
II	273	VII	2	5	6b	6b	266	
II	273	VII	2	6	1	3a	266	
II	274	VII	2	6	3b	3b	267	
II	274	VII	2	7	1	2a	267	
II	275	VII	2	7	2b	5	268	
II	276	VII	2	8	1	3a	269	
II	277	VII	2	8	3b	7a	270	
II	278	VII	2	8	7b	7b	271	
II	278	VII	2	9	1	2a	271	
II	279	VII	2	9	2b	3	272	
II	279	VII	2	10	1	2a	272	
II	280	VII	2	10	2b	4	273	
II	281	VII	2	11	1	1	274	
II	281	VII	2	12	1	1	274	
II	281	VII	2	13	1a	1a	274	
II	282	VII	2	13	1b	1b	275	
II	282	VII	2	14	1	1	275	
II	282	VII	2	15	1	1	275	
II	282	VII	2	16	1	1	275	
II	282	VII	2	17	1	1	275	
II	282	VII	2	18	1	1	275	
II	283	VII	2	19	1	1	276	
II	283	VII	2	20	1	1	276	
II	283	VII	3	1	1a	1a	276	
II	284	VII	3	1	1b	4	277	
II	285	VII	3	2	1	2	278	
II	285	VII	3	3	1a	1a	278	
II	286	VII	3	3	1b	2	279	
II	286	VII	3	4	1	2	279	
II	286	VII	3	5	1a	1a	279	
II	287	VII	3	5	1b	3	280	
II	288	VII	3	6	1	2	281	
II	288	VII	3	7	1a	1a	281	
II	289	VII	3	7	1b	4	282	after 3 -> 1
II	289	VII	3	8	1a	1a	282	
II	290	VII	3	8	1b	2	283	
II	290	VII	3	9	1	3a	283	
II	291	VII	3	9	3b	3b	284	
II	291	VII	3	10	1	3a	284	
II	292	VII	3	10	3b	5	285	
II	293	VII	3	11	1	3	286	
II	294	VII	3	12	1	1	287	
II	294	VII	3	13	1	1	287	
II	294	VII	3	14	1a	1a	287	
II	295	VII	3	14	1b	1b	288	
II	295	VII	3	15	1	1	288	
II	295	VII	3	16	1a	1a	288	
II	296	VII	3	16	1b	2	289	
II	297	VII	3	17	1	1	290	
II	297	VII	3	18	1a	1a	290	
II	298	VII	3	18	1b	1b	291	
II	298	VII	3	19	1	1	291	
II	298	VII	3	20	1a	1a	291	
II	299	VII	3	20	1b	1b	292	
II	299	VII	4	1	1a	1a	292	
II	300	VII	4	1	1b	3	293	
II	300	VII	4	2	1	2a	293	
II	301	VII	4	2	2b	5a	294	
II	302	VII	4	2	5b	5b	295	
II	302	VII	4	3	1	3a	295	
II	303	VII	4	3	3b	6a	296	
II	304	VII	4	3	6b	6b	297	
II	304	VII	4	4	1	2a	297	
II	305	VII	4	4	2b	3	298	
II	305	VII	4	5	1a	1a	298	
II	306	VII	4	5	1b	4a	299	
II	307	VII	4	5	4b	4b	300	
II	307	VII	4	6	1	2a	300	
II	308	VII	4	6	2b	3	301	
II	308	VII	4	7	1	2a	301	
II	309	VII	4	7	2b	3	302	
II	310	VII	4	8	1	2a	303	
II	311	VII	4	8	2b	3	304	
II	311	VII	4	9	1a	1a	304	
II	312	VII	4	9	1b	1b	305	
II	312	VII	4	10	1	2a	305	
II	313	VII	4	10	2b	2b	306	
II	313	VII	4	11	1	2a	306	
II	314	VII	4	11	2b	4	307	
II	315	VII	4	12	1	1	308	
II	315	VII	4	13	1a	1a	308	
II	316	VII	4	13	1b	1b	309	
II	316	VII	4	14	1	1	309	
II	316	VII	4	15	1a	1a	309	
II	317	VII	4	15	1b	1b	310	
II	317	VII	4	16	1	1	310	
II	317	VII	4	17	1a	1a	310	
II	318	VII	4	17	1b	2	311	
II	318	VII	4	18	1	2a	311	
II	319	VII	4	18	2b	2b	312	
II	319	VII	4	19	1	2a	312	
II	320	VII	4	19	2b	3a	313	
II	321	VII	4	19	3b	4	314	
II	321	VII	4	20	1a	1a	314	
II	322	VII	4	20	1b	1b	315	
II	322	VII	4	21	1	1	315	Invisible 1
II	323	VII	4	22	1	1	316	
II	323	VII	5	1	1a	1a	316	
II	324	VII	5	1	1b	4a	317	
II	325	VII	5	1	4b	6a	318	
II	326	VII	5	1	6b	6b	319	
II	326	VII	5	2	1	2	319	
II	327	VII	5	3	1	2	320	
II	327	VII	5	4	1a	1a	320	
II	328	VII	5	4	1b	2	321	
II	328	VII	5	5	1a	1a	321	
II	329	VII	5	5	1b	2	322	
II	330	VII	5	6	1	3a	323	
II	331	VII	5	6	3b	4	324	
II	332	VII	5	7	1	3a	325	
II	333	VII	5	7	3b	4	326	
II	334	VII	5	8	1	4a	327	
II	335	VII	5	8	4b	5	328	
II	336	VII	5	9	1	3a	329	
II	337	VII	5	9	3b	4	330	
II	337	VII	5	10	1a	1a	330	
II	338	VII	5	10	1b	1b	331	
II	338	VII	5	11	1	2b	331	
II	339	VII	5	11	2b	2b	332	
II	339	VII	5	12	1	1	332	
II	340	VII	5	13	1	1	333	
II	340	VII	5	14	1a	1a	333	
II	341	VII	5	14	1b	1b	334	
II	341	VII	5	15	1	3	334	
II	342	VII	5	16	1	1	335	
II	342	VII	5	17	1	1	335	
II	342	VII	5	18	1a	1a	335	
II	343	VII	5	18	1b	1b	336	
II	343	VII	5	19	1	2	336	
II	343	VII	5	20	1a	1a	336	
II	344	VII	5	20	1b	1b	337	
II	344	VII	5	21	1	1	337	
II	344	VII	5	22	1	1	337	
II	344	VII	5	23	1a	1a	337	
II	345	VII	5	23	1b	2	338	
II	345	VII	5	24	1	1	338	
II	345	VII	5	25	1a	1a	338	
II	346	VII	5	25	1b	2	339	
II	347	X	X	X	X	X	340	Start Appendix
II	348	X	X	X	X	X	341	
II	349	X	X	X	X	X	342	
II	350	X	X	X	X	X	343	
II	351	X	X	X	X	X	344	
II	352	X	X	X	X	X	345	
II	353	X	X	X	X	X	346	
II	354	X	X	X	X	X	347	
II	355	X	X	X	X	X	348	
II	356	X	X	X	X	X	349	
II	357	X	X	X	X	X	350	
II	358	X	X	X	X	X	351	
II	359	X	X	X	X	X	352	
II	360	X	X	X	X	X	353	
II	361	X	X	X	X	X	354	
II	362	X	X	X	X	X	355	
II	363	X	X	X	X	X	356	
II	364	X	X	X	X	X	357	
II	365	X	X	X	X	X	358	
II	366	X	X	X	X	X	359	
II	367	X	X	X	X	X	360	
II	368	X	X	X	X	X	361	
II	369	X	X	X	X	X	362	
II	370	X	X	X	X	X	363	
II	371	X	X	X	X	X	364	
II	372	X	X	X	X	X	365	
II	373	X	X	X	X	X	366	
II	374	X	X	X	X	X	367	
II	375	X	X	X	X	X	368	
II	376	X	X	X	X	X	369	
II	377	X	X	X	X	X	370	
II	378	X	X	X	X	X	371	
II	379	X	X	X	X	X	372	
II	380	X	X	X	X	X	373	
II	381	X	X	X	X	X	374	
II	382	X	X	X	X	X	375	
II	383	X	X	X	X	X	376	
II	384	X	X	X	X	X	377	
II	385	X	X	X	X	X	378	
II	386	X	X	X	X	X	379	
II	387	X	X	X	X	X	380	
II	388	X	X	X	X	X	381	
II	389	X	X	X	X	X	382	
II	390	X	X	X	X	X	383	
II	391	X	X	X	X	X	384	
II	392	X	X	X	X	X	385	
II	393	X	X	X	X	X	386	
II	394	X	X	X	X	X	387	
II	395	X	X	X	X	X	388	
II	396	X	X	X	X	X	389	
II	397	X	X	X	X	X	390	
II	398	X	X	X	X	X	391	
II	399	X	X	X	X	X	392	
II	400	X	X	X	X	X	393	
II	401	X	X	X	X	X	394	
II	402	X	X	X	X	X	395	
II	403	X	X	X	X	X	396	
II	404	X	X	X	X	X	397	
II	405	X	X	X	X	X	398	
II	406	X	X	X	X	X	399	
II	407	X	X	X	X	X	400	
II	408	X	X	X	X	X	401	
II	409	X	X	X	X	X	402	
II	410	X	X	X	X	X	403	
II	411	X	X	X	X	X	404	
