Vol	page	kaṇḍa	prapāṭhaka	anuvāka	vers from	vers to	int page	Comments
I	156	1	7	8	2b	5a	149	
I	157	1	7	8	5b	7	150	
I	157	1	7	9	1a	1a	150	
I	158	1	7	9	1b	4a	151	
I	159	1	7	9	4b	6	152	
I	160	1	7	10	1	3a	153	
I	161	1	7	10	3b	6a	154	
I	162	1	7	10	6b	6b	155	
I	162	1	8	1	1a	1a	155	
I	163	1	8	1	1b	2	156	
I	163	1	8	2	1	1	156	
I	164	1	8	2	2	5a	157	
I	165	1	8	2	5b	5b	158	
I	165	1	8	3	1	2	158	
I	166	1	8	3	3	4	159	
I	166	1	8	4	1a	1a	159	
I	167	1	8	4	1b	3	160	
I	167	1	8	5	1a	1a	160	
I	168	1	8	5	1b	5a	161	
I	169	1	8	5	5b	6	162	
I	169	1	8	6	1	2a	162	
I	170	1	8	6	2b	5	163	
I	171	1	8	6	6	6	164	
I	171	1	8	7	1	2a	164	
I	172	1	8	7	2b	2b	165	
I	172	1	8	8	1	3	165	
I	173	1	8	8	4	5	166	
I	173	1	8	9	1a	1a	166	
I	174	1	8	9	1b	1b	167	
I	174	1	8	10	1	2a	167	
I	175	1	8	10	2b	3	168	
I	176	2	1	1	1	3a	169	
I	177	2	1	1	3b	3b	170	
I	177	2	1	2	1	3a	170	
I	178	2	1	2	3b	7a	171	
I	179	2	1	2	7b	10	172	
I	180	2	1	2	11	12	173	
I	180	2	1	3	1	1	173	
I	181	2	1	3	2	6a	174	
I	182	2	1	3	6b	9a	175	
I	183	2	1	3	9b	9b	176	
I	183	2	1	4	1	3a	176	
I	184	2	1	4	3b	7a	177	
I	185	2	1	4	7b	9	178	
I	185	2	1	5	1	1	178	
I	186	2	1	5	2	5a	179	
I	187	2	1	5	5b	9a	180	
I	188	2	1	5	9b	11	181	
I	189	2	1	6	1	4a	182	
I	190	2	1	6	4b	5	183	
I	190	2	1	7	1	1	183	
I	191	2	1	8	1	3	184	
I	192	2	1	9	1	3	185	
I	192	2	1	10	1a	1a	185	
I	193	2	1	10	1b	3	186	
I	194	2	1	11	1	1	187	
I	195	2	2	1	1	3a	188	
I	196	2	2	1	3b	7a	189	
I	197	2	2	1	7b	7b	190	
I	197	2	2	2	1	2a	190	
I	198	2	2	2	2b	5a	191	
I	199	2	2	2	5b	6	192	
I	199	2	2	3	1	1	192	
I	200	2	2	3	2	5a	193	
I	201	2	2	3	5b	7	194	
I	202	2	2	4	1	4a	195	
I	203	2	2	4	4b	7	196	
I	204	2	2	5	1	3a	197	
I	205	2	2	5	3b	6a	198	
I	206	2	2	5	6b	6b	199	
I	206	2	2	6	1	3	159	
I	207	2	2	6	4	4	160	
I	207	2	2	7	1	2	160	
I	208	2	2	7	3	4	161	
I	208	2	2	8	1a	1a	161	
I	209	2	2	8	1b	5a	162	
I	210	2	2	8	5b	8	163	
I	211	2	2	9	1	4	164	
I	212	2	2	9	5	8a	165	
I	213	2	2	9	8b	10	166	
I	214	2	2	10	1	3a	167	
I	215	2	2	10	3b	7a	168	
I	216	2	2	10	7b	7b	169	
I	216	2	2	11	1	2a	169	
I	217	2	2	11	2b	5a	170	
I	218	2	2	11	5b	6	171	
I	219	2	3	1	1	2	172	
I	220	2	3	1	3	3	173	
I	220	2	3	2	1	2a	173	
I	221	2	3	2	2b	5a	174	
I	222	2	3	2	5b	5b	175	
I	222	2	3	3	1	2	175	
I	223	2	3	4	1	3a	176	
I	224	2	3	4	3b	6a	177	
I	225	2	3	4	6b	6b	178	
I	225	2	3	5	1	1	178	
I	226	2	3	5	2	5a	179	
I	227	2	3	5	5b	6	180	
I	227	2	3	6	1	2b	180	
I	228	2	3	6	2b	4	181	
I	229	2	3	7	1	3	182	
I	230	2	3	7	4	4	183	
I	230	2	3	8	1	2a	183	
I	231	2	3	8	2b	3	184	
I	231	2	3	9	1	2a	184	
I	232	2	3	9	2b	6a	185	
I	233	2	3	9	6b	9a	186	
I	234	2	3	9	9b	9b	187	
I	234	2	3	10	1	3a	187	
I	235	2	3	10	3b	4	188	
I	235	2	3	11	1	2a	188	
I	236	2	3	11	2b	4	189	
I	237	2	4	1	1a	1a	190	
I	238	2	4	1	1b	4	191	
I	239	2	4	1	5	8	192	
I	240	2	4	1	9	11	193	
I	241	2	4	2	1	4a	194	
I	242	2	4	2	4b	7	195	
I	243	2	4	2	8	9	196	
I	243	2	4	3	1	1	196	
I	244	2	4	3	2	4	197	
I	245	2	4	3	5	8a	198	
I	246	2	4	3	8b	11a	199	
I	247	2	4	3	11b	13	200	
I	248	2	4	4	1	3	201	
I	249	2	4	4	4	7a	202	
I	250	2	4	4	7b	9	203	
I	251	2	4	5	1	4a	204	
I	252	2	4	5	4b	7a	205	
I	253	2	4	5	7b	7b	206	
I	253	2	4	6	1	2	206	
I	254	2	4	6	3	6a	207	
I	255	2	4	6	6b	9	208	
I	256	2	4	6	10	12	209	
I	257	2	4	7	1	3a	210	
I	258	2	4	7	3b	7a	211	
I	259	2	4	7	7b	10a	212	
I	260	2	4	7	10b	11	213	
I	260	2	4	8	1a	1a	213	
I	261	2	4	8	1b	5a	214	
I	262	2	4	8	5b	7	215	
I	263	2	5	1	1	2a	216	
I	264	2	5	1	2b	3	217	
I	264	2	5	2	1a	1a	217	
I	265	2	5	2	1b	4a	218	
I	266	2	5	2	4b	4b	219	
I	266	2	5	3	1	3a	219	
I	267	2	5	3	3b	3b	220	
I	267	2	5	4	1	2a	220	
I	268	2	3	4	2b	5a	221	
I	269	2	5	4	5b	6	222	
I	269	2	5	5	1	2a	222	
I	270	2	5	5	2b	5a	223	
I	271	2	5	5	5b	7	224	
I	271	2	5	6	1a	1a	224	
I	272	2	5	6	1b	4a	225	
I	273	2	5	6	4b	5	226	
I	274	2	5	7	1a	1a	227	
I	274	2	5	7	1b	4a	227	
I	275	2	5	7	4b	4b	228	
I	275	2	5	8	1	2	228	
I	276	2	5	8	3	6a	229	
I	277	2	5	8	6b	9a	230	
I	278	2	5	8	9b	12a	231	
I	279	2	5	8	12b	12b	232	
I	280	2	6	1	1	3	233	
I	281	2	6	1	4	5	234	
I	281	2	6	2	1a	1a	234	
I	282	2	6	2	1b	3	235	
I	283	2	6	3	1	3a	236	
I	284	2	6	3	3b	5	237	
I	285	2	6	4	1	3a	238	
I	286	2	6	4	3b	6a	239	
I	287	2	6	4	6b	6b	240	
I	287	2	6	5	1	3a	240	
I	288	2	6	5	3b	7a	241	
I	239	2	6	5	7b	8	192	
I	289	2	6	6	1	2a	242	
I	290	2	6	6	2b	5	243	
I	291	2	6	7	1	4a	244	
I	292	2	6	7	4b	6	245	
I	292	2	6	8	1	2a	245	
I	293	2	6	8	2b	3	246	
I	294	2	6	8	4	4	247	
I	294	2	6	9	1	1	247	
I	295	2	6	10	1	3	248	
I	296	2	6	10	4	6	249	
I	297	2	6	11	1	2a	250	
I	298	2	6	11	2b	5	251	
I	299	2	6	11	6	9a	252	
I	300	2	6	11	9b	11	253	
I	301	2	6	12	1	3	254	
I	302	2	6	12	4	4	255	
I	302	2	6	13	1	2a	255	
I	303	2	6	13	2b	3	256	
I	303	2	6	14	1	1	256	
I	304	2	6	14	2	5a	257	
I	305	2	6	14	5b	6	258	
I	306	2	6	15	1	2a	259	
I	307	2	6	15	2b	2b	260	
I	307	2	6	16	1	1	260	
I	308	2	6	16	2	2	261	
I	308	2	6	17	1	2a	261	
I	309	2	6	17	2b	5	262	
I	310	2	6	17	6	7	263	
I	311	2	6	18	1	3a	264	
I	312	2	6	18	3b	4	265	
I	312	2	6	19	1	1	265	
I	313	2	6	19	2	2	266	
I	313	2	6	20	1	2a	266	
I	314	2	6	20	2b	5a	267	
I	315	2	6	20	5b	5b	268	
I	316	2	7	1	1a	1a	269	
I	317	2	7	1	1b	4a	270	
I	318	2	7	1	4b	4b	271	
I	318	2	7	2	1	2	271	
I	318	2	7	3	1a	1a	271	
I	319	2	7	3	1b	3	272	
I	320	2	7	4	1	1	273	
I	320	2	7	5	1	2a	273	
I	321	2	7	5	2b	2b	274	
I	321	2	7	6	1	3a	274	
I	322	2	7	6	3b	3b	275	
I	322	2	7	7	1	3a	275	
I	323	2	7	7	3b	7a	276	
I	324	2	7	7	7b	7b	277	
I	324	2	7	8	1	2a	277	
I	325	2	7	8	2b	2b	278	
I	325	2	7	9	1	3a	278	
I	326	2	7	9	3b	5	279	
I	326	2	7	10	1a	1a	279	
I	327	2	7	10	1b	2	280	
I	327	2	7	11	1	2a	280	
I	328	2	7	11	2b	3	281	
I	328	2	7	12	1	1	281	
I	329	2	7	12	2	5a	282	
I	330	2	7	12	5b	6	283	
I	330	2	7	13	1	1	283	
I	331	2	7	13	2	4a	284	
I	332	2	7	13	4b	4b	285	
I	332	2	7	14	1	2a	285	
I	333	2	7	14	2b	2b	286	
I	333	2	7	15	1	3a	286	
I	334	2	7	15	3b	6a	287	
I	335	2	7	15	6b	6b	288	
I	335	2	7	16	1	2	288	
I	336	2	7	16	3	4	289	
I	336	2	7	17	1a	1a	289	
I	337	2	7	17	1a	3	290	
I	338	2	7	18	1	3a	291	
I	339	2	7	18	3b	5	292	
I	340	2	8	1	1	2a	293	
I	341	2	8	1	2b	5a	294	
I	342	2	8	1	5b	6	295	
I	342	2	8	2	1	1	295	
I	343	2	8	2	2	4	296	
I	344	2	8	2	5	8a	297	
I	345	2	8	2	8b	8b	298	
I	345	2	8	3	1	2a	298	
I	346	2	8	3	2b	5a	299	
I	347	2	8	3	5b	8a	300	
I	348	2	8	3	8b	8b	301	
I	348	2	8	4	1	2a	301	
I	349	2	8	4	2b	5a	302	
I	350	2	8	4	5b	8a	303	
I	351	2	8	4	8b	8b	304	
I	351	2	8	5	1	2a	304	
I	352	2	8	5	2b	5a	305	
I	353	2	8	5	5b	8a	306	
I	354	2	8	5	8b	8b	307	
I	354	2	8	6	1	2a	307	
I	355	2	8	6	2b	5a	308	
I	356	2	8	6	5b	8a	309	
I	357	2	8	6	8b	9	310	
I	357	2	8	7	1	1	310	
I	358	2	8	7	2	4	311	
I	359	2	8	7	5	7a	312	
I	360	2	8	7	7b	10	313	
I	361	2	8	8	1	3a	314	
I	362	2	8	8	3b	6a	315	
I	363	2	8	8	6b	10a	316	
I	364	2	8	8	10b	12	317	
I	365	2	8	9	1	3a	318	
I	366	2	8	9	3b	6a	319	
I	367	2	8	9	6b	9a	320	
I	368	2	8	9	9b	9b	321	
I	369	==	==	==	==	==	322	
I	370-633	==	==	==	==	==		Commentary
II	12-60	==	==	==	==	==		Table of contents (Sanskrit)
II	64-94	==	==	==	==	==		Table of contents (English)
II	98-680	==	==	==	==	==		Commentary
III	8	3	1	1	1	2	1	
III	9	3	1	1	3	6a	2	
III	10	3	1	1	6b	9a	3	
III	11	3	1	1	9b	12a	4	
III	12	3	1	1	12b	12b	5	
III	12	3	1	2	1	2	5	
III	13	3	1	2	3	6a	6	
III	14	3	1	2	6b	9a	7	
III	15	3	1	2	9b	12	8	
III	16	3	1	3	1	3a	9	
III	17	3	1	3	3b	3b	10	
III	17	3	1	4	1	2a	10	
III	18	3	1	4	2b	5a	11	
III	19	3	1	4	5b	8a	12	
III	20	3	1	4	8b	11a	13	
III	21	3	1	4	11b	14a	14	
III	22	3	1	4	14b	15	15	
III	22	3	1	5	1a	1a	15	
III	23	3	1	5	1b	4a	16	
III	24	3	1	5	4b	7a	17	
III	25	3	1	5	7b	9	18	
III	26	3	1	5	10	12	19	
III	27	3	1	5	13	15	20	
III	28	3	1	6	1	2a	21	
III	29	3	1	6	2b	4a	22	
III	30	3	1	6	4b	7	23	
III	31	==	==	==	==	==	24	
III	32	3	2	1	1	2a	25	
III	33	3	2	1	2b	5a	26	
III	34	3	2	1	5b	5b	27	
III	34	3	2	2	1	2a	27	
III	35	3	2	2	2b	5a	28	
III	36	3	2	2	5b	8a	29	
III	37	3	2	2	8b	9	30	
III	37	3	2	3	1	2a	30	
III	38	3	2	3	2b	5	31	
III	39	3	2	3	6	8	32	
III	40	3	2	3	9	12a	33	
III	41	3	2	3	12b	12b	34	
III	41	3	2	4	1	1	34	
III	42	3	2	4	2	5a	35	
III	43	3	2	4	5b	7	36	
III	44	3	2	5	1	3	37	
III	45	3	2	5	4	7a	38	
III	46	3	2	5	7b	9	39	
III	47	3	2	5	10	11	40	
III	47	3	2	6	1a	1a	40	
III	48	3	2	6	1b	3	41	
III	49	3	2	6	4	4	42	
III	50	3	2	7	1	1	43	
III	50	3	2	7	2	5a	43	
III	51	3	2	7	5b	6	44	
III	51	3	2	8	1a	1a	44	
III	52	3	2	8	1b	4	45	
III	53	3	2	8	5	8a	46	
III	54	3	2	8	8b	11	47	
III	55	3	2	8	12	12	48	
III	55	3	2	9	1	2a	48	
III	56	3	2	9	2b	5a	49	
III	57	3	2	9	5b	8	50	
III	58	3	2	9	9	12a	51	
III	59	3	2	9	12b	15a	52	
III	60	3	2	9	15b	15b	53	
III	60	3	2	10	1	2	53	
III	61	3	2	10	3	3	54	
III	62	3	3	1	1	3	55	
III	63	3	3	1	4	5	56	
III	63	3	3	2	1a	1a	56	
III	64	3	3	2	1b	4a	57	
III	65	3	3	2	4b	5	58	
III	65	3	3	3	1	2a	58	
III	66	3	3	3	2b	5a	59	
III	67	3	3	3	5b	5b	60	
III	67	3	3	4	1	3a	60	
III	68	3	3	4	3b	6a	61	
III	69	3	3	4	6b	6b	62	
III	69	3	3	5	1	3a	62	
III	70	3	3	5	3b	5	63	
III	70	3	3	6	1a	1a	63	
III	71	3	3	6	1b	4a	64	
III	72	3	3	6	4b	8a	65	
III	73	3	3	6	8b	11a	66	
III	74	3	3	6	11b	11b	67	
III	74	3	3	7	1	2a	67	
III	75	3	3	7	2b	5a	68	
III	76	3	3	7	5b	8a	69	
III	77	3	3	7	8b	11a	70	
III	78	3	3	7	11b	11b	71	
III	78	3	3	8	1	2	71	
III	79	3	3	8	3	6a	72	
III	80	3	3	8	6b	9a	73	
III	81	3	3	8	9b	11	74	
III	82	3	3	9	1	4a	75	
III	83	3	3	9	4b	7a	76	
III	84	3	3	9	7b	10a	77	
III	85	3	3	9	10b	12	78	
III	86	3	3	10	1	3	79	
III	87	3	3	10	4	4	80	
III	87	3	3	11	1	2a	80	
III	88	3	3	11	2b	4	81	
III	89	3	4	1	1	3a	82	
III	90	3	4	1	3b	7a	83	
III	91	3	4	1	7b	11a	84	
III	92	3	4	1	11b	14	85	
III	93	3	4	1	15	18	86	
III	94	3	4	1	19	19	87	
III	94	3	5	1	1a	1a	87	
III	95	3	5	1	1b	1b	88	
III	95	3	5	2	1	3a	88	
III	96	3	5	2	3b	3b	89	
III	96	3	5	3	1	2	89	
III	97	3	5	4	1	1	90	
III	97	3	5	5	1	1	90	
III	97	3	5	6	1a	1a	90	
III	98	3	5	6	1b	1b	91	
III	98	3	5	7	1	2a	91	
III	99	3	5	7	2b	5	92	
III	100	3	5	7	6	6	93	
III	100	3	5	8	1a	1a	93	
III	101	3	5	8	1b	3	94	
III	101	3	5	9	1a	1a	94	
III	102	3	5	9	1b	1b	95	
III	102	3	5	10	1	3a	95	
III	103	3	5	10	3b	5	96	
III	104	3	5	11	1	1	97	
III	104	3	5	12	1	1	97	
III	105	3	5	13	1	3a	98	
III	106	3	5	13	3b	3b	99	
III	106	3	6	1	1a	1a	99	
III	107	3	6	1	1b	3	100	
III	108	3	6	2	1	2a	101	
III	109	3	6	2	2b	2b	102	
III	110	3	6	3	1	3	103	
III	111	3	6	3	4	4	104	
III	111	3	6	4	1	1	104	
III	112	3	6	5	1	1	105	
III	112	3	6	6	1	3a	105	
III	113	3	6	6	3b	4	106	
III	113	3	6	7	1	2a	106	
III	114	3	6	7	2b	2b	107	
III	114	3	6	8	1	2	107	
III	114	3	6	9	1a	1a	107	
III	115	3	6	9	1b	1b	108	
III	115	3	6	10	1	2a	108	
III	116	3	6	10	2b	5a	109	
III	117	3	6	10	5b	5b	110	
III	117	3	6	11	1	2a	110	
III	118	3	6	11	2b	4	111	
III	119	3	6	12	1	2	112	
III	119	3	6	13	1a	1a	112	
III	120	3	6	13	1b	1b	113	
III	121	3	6	13	1c	1c	114	
III	122	3	6	14	1	3	115	
III	123	3	6	15	1	1	116	
III	124	3	7	1	1	3a	117	
III	125	3	7	1	3b	6	118	
III	126	3	7	1	7	9a	119	
III	127	3	7	1	9b	9b	120	
III	127	3	7	2	1	3a	120	
III	128	3	7	2	3b	6a	121	
III	129	3	7	2	6b	7	122	
III	130	3	7	3	1	4a	123	
III	131	3	7	3	4b	7a	124	
III	132	3	7	3	7b	7b	125	
III	132	3	7	4	1	2a	125	
III	133	3	7	4	2b	5a	126	
III	134	3	7	4	5b	8	127	
III	135	3	7	4	9	12a	128	
III	136	3	7	4	12b	15	129	
III	137	3	7	4	16	18	130	
III	138	3	7	5	1	3a	131	
III	139	3	7	5	3b	7a	132	
III	140	3	7	5	7b	11a	133	
III	141	3	7	5	11b	13a	134	
III	142	3	7	5	13b	13b	135	
III	142	3	7	6	1	3a	135	
III	143	3	7	6	3b	6a	136	
III	144	3	7	6	6b	9a	137	
III	145	3	7	6	9b	12a	138	
III	146	3	7	6	12b	15a	139	
III	147	3	7	6	15b	19a	140	
III	148	3	7	6	19b	22	141	
III	149	3	7	6	23	23	142	
III	150	3	7	7	1	3	143	
III	151	3	7	7	4	7a	144	
III	152	3	7	7	7b	10a	145	
III	153	3	7	7	10b	13	146	
III	154	3	7	7	14	14	147	
III	154	3	7	8	1	1	147	
III	155	3	7	8	2	3	148	
III	155	3	7	9	1a	1a	148	
III	156	3	7	9	1b	4	149	
III	157	3	7	9	5	8a	150	
III	158	3	7	9	8b	9	151	
III	158	3	7	10	1a	1a	151	
III	159	3	7	10	1b	4a	152	
III	160	3	7	10	4b	6	153	
III	161	3	7	11	1	3a	154	
III	162	3	7	11	3b	5	155	
III	163	3	7	12	1	3	156	
III	164	3	7	12	4	6	157	
III	165	3	7	13	1	2	158	
III	166	3	7	13	3	4	159	
III	166	3	7	14	1a	1a	159	
III	167	3	7	14	1b	3	160	
III	168	3	7	14	4	5	161	
III	169	3	8	1	1	2a	162	
III	170	3	8	1	2b	2b	163	
III	170	3	8	2	1	3a	163	
III	171	3	8	2	3b	4	164	
III	171	3	8	3	1	1	164	
III	172	3	8	3	2	5a	165	
III	173	3	8	3	5b	6	166	
III	173	3	8	4	1a	1a	166	
III	174	3	8	4	1b	3	167	
III	175	3	8	5	1	3a	168	
III	176	3	8	5	3b	4	169	
III	176	3	8	6	1	2a	169	
III	177	3	8	6	2b	5a	170	
III	178	3	8	6	5b	5b	171	
III	178	3	8	7	1	2a	171	
III	179	3	8	7	2b	3	172	
III	180	3	8	8	1	4a	173	
III	181	3	8	8	4b	4b	174	
III	181	3	8	9	1	2a	174	
III	182	3	8	9	2b	4a	175	
III	183	3	8	9	4b	4b	176	
III	183	3	8	10	1	3a	176	
III	184	3	8	10	3b	5	177	
III	184	3	8	11	1a	1a	177	
III	185	3	8	11	1b	2	178	
III	186	3	8	12	1	2a	179	
III	187	3	8	12	2b	2b	180	
III	187	3	8	13	1	2	180	
III	188	3	8	13	3	3	181	
III	188	3	8	14	1	2a	181	
III	189	3	8	14	2b	6a	182	
III	190	3	8	14	6b	6b	183	
III	190	3	8	15	1	2a	183	
III	191	3	8	15	2b	3	184	
III	191	3	8	16	1	1	184	
III	192	3	8	16	2	4a	185	
III	193	3	8	16	4b	4b	186	
III	193	3	8	17	1	2a	186	
III	194	3	8	17	2b	5a	187	
III	195	3	8	17	5b	5b	188	
III	195	3	8	18	1	2	188	
III	196	3	8	18	3	5a	189	
III	197	3	8	18	5b	6	190	
III	197	3	8	19	1a	1a	190	
III	198	3	8	19	1b	2	191	
III	198	3	8	20	1	1	191	
III	199	3	8	20	2	5a	192	
III	200	3	8	20	5b	5b	193	
III	200	3	8	21	1	2	193	
III	201	3	8	21	3	4	194	
III	201	3	8	22	1a	1a	194	
III	202	3	8	22	1b	3	195	
III	203	3	8	23	1	3a	196	
III	204	3	8	23	3b	3b	197	
III	205	3	9	1	1	3a	198	
III	206	3	9	1	3b	4	199	
III	206	3	9	2	1	1	199	
III	207	3	9	2	2	4	200	
III	208	3	9	3	1	3a	201	
III	209	3	9	3	3b	3b	202	
III	209	3	9	4	1	3a	202	
III	210	3	9	4	3b	6a	203	
III	211	3	9	4	6b	8	204	
III	212	3	9	5	1	3a	205	
III	213	3	9	5	3b	5	206	
III	214	3	9	6	1	3	207	
III	215	3	9	6	4	5	208	
III	215	3	9	7	1a	1a	208	
III	216	3	9	7	1b	4	209	
III	217	3	9	7	5	5	210	
III	217	3	9	8	1	2a	210	
III	218	3	9	8	2b	3	211	
III	218	3	9	9	1a	1a	211	
III	219	3	9	9	1b	3	212	
III	220	3	9	10	1	1	213	
III	220	3	9	11	1a	1a	213	
